year,month,day,title,links
6,9,20,نبرد نینوا,[]
13,2,23,نبرد ۶۳۴ بابل,[]
15,8,25,آغاز نبرد قادسیه.,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]"
15,8,28,پایان نبرد قادسیه,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]"
20,11,25,نبرد نهاوند,"[{'text': 'نبرد نهاوند', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%86%D9%87%D8%A7%D9%88%D9%86%D8%AF'}]"
52,12,6,حملهٔ ابرهه به کعبه,[]
59,7,20,نبرد کربلا در روز عاشورا و کشته شدن حسین بن علی و یارانش به دست یزید بن معاویه,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'نبرد کربلا', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7'}]"
124,5,9,ورود ابومسلم به خراسان و آغاز فرمانروایی او در این سرزمین.,"[{'text': 'خراسان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86'}]"
220,3,10,اعدام بابک خرمدین,"[{'text': 'بابک خرمدین', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8%DA%A9_%D8%AE%D8%B1%D9%85%D8%AF%DB%8C%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
222,7,29,یزدگرد اول، پادشاه ساسانی اعلام کرد که در مناسباتش با دولت روم، مذاکره و صلح را به جنگ ترجیح می‌دهد.,"[{'text': 'جنگ', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF'}, {'text': 'ساسانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'صلح', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D9%84%D8%AD'}, {'text': 'مذاکره', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D9%87'}, {'text': 'پادشاه', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%D8%B4%D8%A7%D9%87'}, {'text': 'یزدگرد اول', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%B2%D8%AF%DA%AF%D8%B1%D8%AF_%DB%8C%DA%A9%D9%85'}]"
