title,year,month,day,link,description,category
کلنل فضل‌الله خان,1299,1,1,https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%86%D9%84_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D8%A7%D9%86,,Death
مرتضی محجوبی,1344,1,1,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D9%85%D8%AD%D8%AC%D9%88%D8%A8%DB%8C,,Death
علی دریابیگی,1370,1,1,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,,Death
کلارا آبکار,1375,1,1,https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D8%A7%D8%B1%D8%A7_%D8%A2%D8%A8%DA%A9%D8%A7%D8%B1,,Death
سروش خلیلی,1385,1,1,https://fa.wikipedia.org/wiki/%D8%B3%D8%B1%D9%88%D8%B4_%D8%AE%D9%84%DB%8C%D9%84%DB%8C,,Death
خدیجه ثقفی,1388,1,1,https://fa.wikipedia.org/wiki/%D8%AE%D8%AF%DB%8C%D8%AC%D9%87_%D8%AB%D9%82%D9%81%DB%8C,,Death
محمد صادقی تهرانی,1390,1,1,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B5%D8%A7%D8%AF%D9%82%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86%DB%8C,,Death
ارسلان فلاح حجت انصاری,1399,1,1,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%B3%D9%84%D8%A7%D9%86_%D9%81%D9%84%D8%A7%D8%AD_%D8%AD%D8%AC%D8%AA_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C,,Death
محمد محمدی ری‌شهری,1401,1,1,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%B1%DB%8C%E2%80%8C%D8%B4%D9%87%D8%B1%DB%8C,,Death
مهرنوش شریعتی,1401,1,1,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D9%86%D9%88%D8%B4_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%DB%8C,,Death
فرامرز اصلانی,1403,1,1,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%85%D8%B1%D8%B2_%D8%A7%D8%B5%D9%84%D8%A7%D9%86%DB%8C,,Death
پروانه اعتمادی,1404,1,1,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87_%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF%DB%8C,,Death
محمدباقر شفتی,1223,1,2,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%B4%D9%81%D8%AA%DB%8C,,Death
حسین کاشی‌پز,1341,1,2,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%A7%D8%B4%DB%8C%E2%80%8C%D9%BE%D8%B2,,Death
پارسا تویسرکانی,1369,1,2,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7_%D8%AA%D9%88%DB%8C%D8%B3%D8%B1%DA%A9%D8%A7%D9%86%DB%8C,,Death
هوشنگ کاووسی,1392,1,2,https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B4%D9%86%DA%AF_%DA%A9%D8%A7%D9%88%D9%88%D8%B3%DB%8C,,Death
یونس عساکره,1394,1,2,https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D9%86%D8%B3_%D8%B9%D8%B3%D8%A7%DA%A9%D8%B1%D9%87,,Death
داریوش شایگان,1397,1,2,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1%DB%8C%D9%88%D8%B4_%D8%B4%D8%A7%DB%8C%DA%AF%D8%A7%D9%86,,Death
ژیلا تقی‌زاده,1399,1,2,https://fa.wikipedia.org/wiki/%DA%98%DB%8C%D9%84%D8%A7_%D8%AA%D9%82%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,,Death
سید محمد فقیه,1401,1,2,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D9%81%D9%82%DB%8C%D9%87,,Death
احمد سمیعی گیلانی,1402,1,2,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C_%DA%AF%DB%8C%D9%84%D8%A7%D9%86%DB%8C,,Death
عبدالعظیم قریب,1344,1,3,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B8%DB%8C%D9%85_%D9%82%D8%B1%DB%8C%D8%A8,,Death
احمد ناظرزاده کرمانی,1355,1,3,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%86%D8%A7%D8%B8%D8%B1%D8%B2%D8%A7%D8%AF%D9%87_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,,Death
سید جلال‌الدین میری آشتیانی,1384,1,3,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%DB%8C_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C,,Death
داوود اسدی,1387,1,3,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%88%D9%88%D8%AF_%D8%A7%D8%B3%D8%AF%DB%8C,,Death
شاهرخ سخایی,1387,1,3,https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D8%B1%D8%AE_%D8%B3%D8%AE%D8%A7%DB%8C%DB%8C,,Death
غلامحسین سمندری,1391,1,3,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%85%D9%86%D8%AF%D8%B1%DB%8C,,Death
جمشید دانایی‌فر,1393,1,3,https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D8%AF%D8%A7%D9%86%D8%A7%DB%8C%DB%8C%E2%80%8C%D9%81%D8%B1,,Death
پرویز راجی,1393,1,3,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D8%B2_%D8%B1%D8%A7%D8%AC%DB%8C,,Death
سیمین صفامهر,1395,1,3,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%85%DB%8C%D9%86_%D8%B5%D9%81%D8%A7%D9%85%D9%87%D8%B1,,Death
سهیل پرسته,1398,1,3,https://fa.wikipedia.org/wiki/%D8%B3%D9%87%DB%8C%D9%84_%D9%BE%D8%B1%D8%B3%D8%AA%D9%87,,Death
حسن اکبرزاده,1399,1,3,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%A7%DA%A9%D8%A8%D8%B1%D8%B2%D8%A7%D8%AF%D9%87,,Death
علی برجسته,1401,1,3,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A8%D8%B1%D8%AC%D8%B3%D8%AA%D9%87,,Death
امین‌الدین بلیانی,724,1,4,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A8%D9%84%DB%8C%D8%A7%D9%86%DB%8C,,Death
مهدی نوایی,1326,1,4,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D9%86%D9%88%D8%A7%DB%8C%DB%8C,,Death
رافیک آرزومانیان,1379,1,4,https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D9%81%DB%8C%DA%A9_%D8%A2%D8%B1%D8%B2%D9%88%D9%85%D8%A7%D9%86%DB%8C%D8%A7%D9%86,,Death
محمد مددپور,1384,1,4,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AF%D8%AF%D9%BE%D9%88%D8%B1,,Death
علی خلیلی,1393,1,4,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%DA%AF_%D8%B9%D9%84%DB%8C_%D8%AE%D9%84%DB%8C%D9%84%DB%8C,,Death
عباسقلی دانشور,1399,1,4,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3%D9%82%D9%84%DB%8C_%D8%AF%D8%A7%D9%86%D8%B4%D9%88%D8%B1,,Death
میر مهنا,1148,1,5,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1_%D9%85%D9%87%D9%86%D8%A7,,Death
محمدحسن ممقانی,1284,1,5,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D9%85%D9%85%D9%82%D8%A7%D9%86%DB%8C,,Death
محمود نریمان,1340,1,5,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D9%86%D8%B1%DB%8C%D9%85%D8%A7%D9%86,,Death
عبدالله دهش,1366,1,5,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4,,Death
محمداسماعیل رضوانی,1375,1,5,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%B1%D8%B6%D9%88%D8%A7%D9%86%DB%8C,,Death
یدالله بهزاد,1386,1,5,https://fa.wikipedia.org/wiki/%DB%8C%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%87%D8%B2%D8%A7%D8%AF,,Death
پروین‌دخت یزدانیان,1391,1,5,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86%E2%80%8C%D8%AF%D8%AE%D8%AA_%DB%8C%D8%B2%D8%AF%D8%A7%D9%86%DB%8C%D8%A7%D9%86,,Death
محمدابراهیم باستانی پاریزی,1393,1,5,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%DB%8C_%D9%BE%D8%A7%D8%B1%DB%8C%D8%B2%DB%8C,,Death
نیما پتگر,1394,1,5,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D9%85%D8%A7_%D9%BE%D8%AA%DA%AF%D8%B1,,Death
فرزانه تأییدی,1399,1,5,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%B2%D8%A7%D9%86%D9%87_%D8%AA%D8%A3%DB%8C%DB%8C%D8%AF%DB%8C,,Death
رضا براهنی,1401,1,5,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D8%A8%D8%B1%D8%A7%D9%87%D9%86%DB%8C,,Death
اسماعیل ادیب خوانساری,1361,1,6,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%A7%D8%AF%DB%8C%D8%A8_%D8%AE%D9%88%D8%A7%D9%86%D8%B3%D8%A7%D8%B1%DB%8C,,Death
