year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english
1302,3,14,سید حسین کزازی,نمایندۀ کرمانشاه در مجلس شورای ملی و رئیس ادارۀ معارف کرمانشاه (زادهٔ ۱۲۵۳),"[{'text': 'سید حسین کزازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C,1923,06,05,<No English page found>
1302,6,7,احمد دریابیگی,نخستین فرماندهٔ نیروی دریایی مدرن ایران در خلیج فارس,"[{'text': 'احمد دریابیگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,1923,08,30,https://en.wikipedia.org/wiki/Ahmad_Khan_Daryabeigi
1302,8,23,محمدیعقوب خان,پادشاه افغانستان (زاده ۱۲۲۸),"[{'text': 'محمدیعقوب خان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86,1923,11,15,https://en.wikipedia.org/wiki/Mohammad_Yaqub_Khan
1304,12,22,ایرج میرزا,شاعر ایرانی (زاده ۱۲۵۱),"[{'text': 'ایرج میرزا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,1926,03,13,https://en.wikipedia.org/wiki/Iraj_Mirza
1305,3,6,ادیب نیشابوری,شاعر ایرانی (زاده ۱۲۴۳),"[{'text': 'ادیب نیشابوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C,1926,05,28,<No English page found>
1305,4,2,یوسف ارفعی,نظامی ایرانی (زاده ۱۲۷۰),"[{'text': 'یوسف ارفعی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C,1926,06,24,<No English page found>
1305,6,27,محمدولی خان تنکابنی,سیاستمدار و رئیس‌الوزرای دوره قاجار (زاده ۱۲۲۵),"[{'text': 'محمدولی خان تنکابنی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C,1926,09,19,https://en.wikipedia.org/wiki/Mohammad_Vali_Khan_Khalatbari_Tonekaboni
1305,9,2,درویش‌خان,استاد موسیقی ایرانی (زاده ۱۲۵۱),"[{'text': 'درویش\u200cخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86,1926,11,24,https://en.wikipedia.org/wiki/Darvish_Khan
1306,8,10,عبدالمجید عین‌الدوله,صدراعظم مظفرالدین‌شاه (زاده ۱۲۲۴),"[{'text': 'عبدالمجید عین\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,1927,11,02,https://en.wikipedia.org/wiki/Abdol_Majid_Mirza
1306,10,4,ابوالقاسم ناصرالملک,سیاستمدار ایرانی (زاده ۱۲۴۵),"[{'text': 'ابوالقاسم ناصرالملک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9,1927,12,26,https://en.wikipedia.org/wiki/Abolqasem_Naser_ol-Molk
1311,6,6,حسن مستوفی,(معروف به مستوفی الممالک) سیاست‌مدار.,"[{'text': 'حسن مستوفی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C%E2%80%8C%D8%A7%D9%84%D9%85%D9%85%D8%A7%D9%84%DA%A9'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C%E2%80%8C%D8%A7%D9%84%D9%85%D9%85%D8%A7%D9%84%DA%A9,1932,08,28,https://en.wikipedia.org/wiki/Mostowfi_ol-Mamalek
1311,7,16,صولت‌الدوله,قشقایی در زندان قصر درگذشت,"[{'text': 'صولت\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D9%88%D9%84%D8%AA%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87_%D9%82%D8%B4%D9%82%D8%A7%DB%8C%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B5%D9%88%D9%84%D8%AA%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87_%D9%82%D8%B4%D9%82%D8%A7%DB%8C%DB%8C,1932,10,08,<No English page found>
1311,8,16,غلامعلی دولتشاهی,(معروف به مجلل الدوله) پدرزن رضاشاه و رئیس تشریفات دربار پهلوی,"[{'text': 'غلامعلی دولتشاهی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B9%D9%84%DB%8C_%D8%AF%D9%88%D9%84%D8%AA%D8%B4%D8%A7%D9%87%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B9%D9%84%DB%8C_%D8%AF%D9%88%D9%84%D8%AA%D8%B4%D8%A7%D9%87%DB%8C,1932,11,07,<No English page found>
1313,11,30,محمود غنی‌زاده,شاعر,"[{'text': 'محمود غنی\u200cزاده', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%BA%D9%86%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%BA%D9%86%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,1935,02,19,<No English page found>
1316,6,20,رضا کمال شهرزاد,نمایشنامه نویس,"[{'text': 'رضا کمال شهرزاد', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%DA%A9%D9%85%D8%A7%D9%84'}]",https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%DA%A9%D9%85%D8%A7%D9%84,1937,09,11,https://en.wikipedia.org/wiki/Shahrzad_(Reza_Kamal)
1316,9,10,سید حسن مدرس,روحانی و نماینده مجلس شورای ملی (زادروز ۱۲۴۹),"[{'text': 'سید حسن مدرس', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D9%85%D8%AF%D8%B1%D8%B3'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D9%85%D8%AF%D8%B1%D8%B3,1937,12,01,https://en.wikipedia.org/wiki/Hassan_Modarres
