day,month,title,links,year
2.0,1.0,بلدیهٔ تهران با تشکیلات جدید شروع به کار کرد و سیدضیاءالدین طباطبایی نخست‌وزیر وقت، گاسپار ایپگیان را به ریاست آن گمارد.,"[{'text': 'بلدیه', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D8%AF%DB%8C%D9%87'}, {'text': 'گاسپار ایپگیان', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D8%B3%D9%BE%D8%A7%D8%B1_%D8%A7%DB%8C%D9%BE%DA%AF%DB%8C%D8%A7%D9%86'}]",1300
13.0,1.0,دستگیری قوام‌السلطنه والی خراسان توسط کلنل محمدتقی خان پسیان فرمانده ژاندارمری خراسان به فرمان سید ضیاءالدین طباطبایی رئیس دولت جدید و ارسال او به تهران. تشکیل جمهوری خودمختار خراسان ایران توسط پسیان. قوام را به زندان عشرت‌آباد فرستادند.,"[{'text': 'سید ضیاءالدین طباطبایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B6%DB%8C%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C'}]",1300
14.0,1.0,سید ضیاءالدین طباطبایی، کلنل پسیان را به سمت والی نظامی خراسان گمارد.,"[{'text': 'سید ضیاءالدین طباطبایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B6%DB%8C%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C'}]",1300
22.0,1.0,بریتانیا امارت فرااردن را از بخشی از مناطقی که در خاورمیانه در شرق رود اردن در قیمومت داشت ایجاد کرد. عبدالله بن حسین بن علی هاشمی شاه حجاز به عنوان حاکم این امارت که امروزه پادشاهی اردن خوانده می‌شود، تعیین گردید.,"[{'text': 'بریتانیا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D8%A7'}, {'text': 'رود اردن', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%AF_%D8%A7%D8%B1%D8%AF%D9%86'}, {'text': 'فرااردن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D8%A7%D8%B1%D8%AA_%D9%85%D8%A7%D9%88%D8%B1%D8%A7%D8%A1_%D8%A7%D8%B1%D8%AF%D9%86'}]",1300
4.0,2.0,سید ضیاءالدین طباطبایی وزرای کابینهٔ جدید خود را تعیین و به احمدشاه قاجار معرفی کرد. در این کابینه: رضاخان سردار سپه وزیر جنگ، معززالدوله وزیر امور خارجه، مدیرالملک جم وزیر مالیه، میرزا تقی مشیر معظم خواجوی وزیر پست و تلگراف، رضاقلی هدایت نیرالملک وزیر معارف، علی‌اصغر مؤدب‌الدوله نفیسی وزیر صحیه و امور خیریه شدند و رئیس‌الوزرا شخصاً سرپرستی وزارت داخله را به عهده گرفت.,"[{'text': 'احمدشاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87'}, {'text': 'رضاخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87'}, {'text': 'سید ضیاءالدین طباطبایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B6%DB%8C%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C'}]",1300
10.0,2.0,آغاز خروج نیروهای انگلیسی شامل ۱۱٬۶۰۰ سرباز انگلیسی و هندی به فرماندهی ژنرال ادموند آیرونساید از ایران,"[{'text': 'ادموند آیرونساید', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%D9%85%D9%88%D9%86%D8%AF_%D8%A2%DB%8C%D8%B1%D9%88%D9%86%D8%B3%D8%A7%DB%8C%D8%AF'}]",1300
4.0,3.0,کابینهٔ سیدضیاءالدین طباطبایی پس از ۳ ماه سقوط کرد و احمد قوام‌السلطنه که هنوز در زندان بود مأمور تشکیل کابینه شد. اکثر این وزرا جزو محبوسین دورهٔ رئیس‌الوزرایی طباطبایی بودند. در این کابینه رضاخان سردار سپه وزیر جنگ، محتشم‌السلطنه وزیر امور خارجه، مصدق‌السلطنه وزیر مالیه، عمیدالسلطنه وزیر عدلیه، ممتازالدوله وزیر معارف و اوقاف و صنایع مستظرفه، میرزا حسینخان سمیعی ادیب‌السلطنه وزیر تجارت و فوائد عامه، حکیم‌الدوله وزیر صحیه، مشارالسلطنه وزیر پست و تلگراف و مستشارالدوله وزیر مشاور شدند و رئیس‌الوزرا سرپرستی وزارت داخله را به عهده گرفت.,"[{'text': 'احمد قوام', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%82%D9%88%D8%A7%D9%85'}, {'text': 'رضاخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87'}]",1300
7.0,3.0,احمدشاه در تلگرافی به کلنل پسیان او را در سمت فرماندهی قوای نظامی خراسان ابقا کرد اما از دخالت در امور حکومتی منع نمود.,"[{'text': 'احمدشاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87'}]",1300
24.0,3.0,وینستون چرچیل وزیر مستعمرات بریتانیا با ارائهٔ طرح‌هایی به پارلمان این کشور از ایجاد کشوری مستقل در میانرودان به نام «عراق» و همچنین ایجاد یک کشور صهیونیستی در فلسطین خبر داد.,"[{'text': 'بریتانیا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D8%A7'}, {'text': 'وینستون چرچیل', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%86%D8%B3%D8%AA%D9%88%D9%86_%DA%86%D8%B1%DA%86%DB%8C%D9%84'}]",1300
25.0,3.0,قیام امیرمؤید سوادکوهی و پسرانش و برخی از خوانین مازندران در سوادکوه علیه دولت مرکزی,"[{'text': 'امیرمؤید سوادکوهی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D9%85%D8%A4%DB%8C%D8%AF_%D8%B3%D9%88%D8%A7%D8%AF%DA%A9%D9%88%D9%87%DB%8C'}, {'text': 'سوادکوه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D9%88%D8%A7%D8%AF%DA%A9%D9%88%D9%87'}]",1300
