,title,year,month,day,link,description,category
0,کلنل فضل‌الله خان,1299,1.0,1.0,https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%86%D9%84_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D8%A7%D9%86,,Death
1,مرتضی محجوبی,1344,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D9%85%D8%AD%D8%AC%D9%88%D8%A8%DB%8C,,Death
2,سروش خلیلی,1385,1.0,1.0,https://fa.wikipedia.org/wiki/%D8%B3%D8%B1%D9%88%D8%B4_%D8%AE%D9%84%DB%8C%D9%84%DB%8C,,Death
3,محمد صادقی تهرانی,1390,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B5%D8%A7%D8%AF%D9%82%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86%DB%8C,,Death
4,ارسلان فلاح حجت انصاری,1399,1.0,1.0,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%B3%D9%84%D8%A7%D9%86_%D9%81%D9%84%D8%A7%D8%AD_%D8%AD%D8%AC%D8%AA_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C,,Death
5,محمد محمدی ری‌شهری,1401,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%B1%DB%8C%E2%80%8C%D8%B4%D9%87%D8%B1%DB%8C,,Death
6,مهرنوش شریعتی,1401,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D9%86%D9%88%D8%B4_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%DB%8C,,Death
7,فرامرز اصلانی,1403,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%85%D8%B1%D8%B2_%D8%A7%D8%B5%D9%84%D8%A7%D9%86%DB%8C,,Death
8,پروانه اعتمادی,1404,1.0,1.0,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87_%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF%DB%8C,,Death
9,محمدباقر شفتی,1223,1.0,2.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%B4%D9%81%D8%AA%DB%8C,,Death
10,حسین کاشی‌پز,1341,1.0,2.0,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%A7%D8%B4%DB%8C%E2%80%8C%D9%BE%D8%B2,,Death
11,هوشنگ کاووسی,1392,1.0,2.0,https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B4%D9%86%DA%AF_%DA%A9%D8%A7%D9%88%D9%88%D8%B3%DB%8C,,Death
