year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english,person_name_english,details_english
1302,3,14,سید حسین کزازی,نمایندۀ کرمانشاه در مجلس شورای ملی و رئیس ادارۀ معارف کرمانشاه (زادهٔ ۱۲۵۳),"[{'text': 'سید حسین کزازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C,1923,6,5,<No English page found>,Seyyed Hossein Kazazi,Kermanshah Representative in the National Assembly and Head of Kermanshah Education (born 1)
1302,6,7,احمد دریابیگی,نخستین فرماندهٔ نیروی دریایی مدرن ایران در خلیج فارس,"[{'text': 'احمد دریابیگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,1923,8,30,https://en.wikipedia.org/wiki/Ahmad_Khan_Daryabeigi,Ahmad Khan Daryabeigi,The first commander of the modern Iranian Navy in the Persian Gulf
1302,8,23,محمدیعقوب خان,پادشاه افغانستان (زاده ۱۲۲۸),"[{'text': 'محمدیعقوب خان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86,1923,11,15,https://en.wikipedia.org/wiki/Mohammad_Yaqub_Khan,Mohammad Yaqub Khan,King of Afghanistan (born 2)
1304,12,22,ایرج میرزا,شاعر ایرانی (زاده ۱۲۵۱),"[{'text': 'ایرج میرزا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,1926,3,13,https://en.wikipedia.org/wiki/Iraj_Mirza,Iraj Mirza,Iranian poet (born 2)
1305,3,6,ادیب نیشابوری,شاعر ایرانی (زاده ۱۲۴۳),"[{'text': 'ادیب نیشابوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C,1926,5,28,<No English page found>,Adib Neyshaburi,Iranian poet (born 1)
1305,4,2,یوسف ارفعی,نظامی ایرانی (زاده ۱۲۷۰),"[{'text': 'یوسف ارفعی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C,1926,6,24,<No English page found>,Yusuf Arfaei,Iranian military (born 1)
1305,6,27,محمدولی خان تنکابنی,سیاستمدار و رئیس‌الوزرای دوره قاجار (زاده ۱۲۲۵),"[{'text': 'محمدولی خان تنکابنی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C,1926,9,19,https://en.wikipedia.org/wiki/Mohammad_Vali_Khan_Khalatbari_Tonekaboni,Mohammad Vali Khan Khalatbari Tonekaboni,Qajar Politicine and President (born 2)
1305,9,2,درویش‌خان,استاد موسیقی ایرانی (زاده ۱۲۵۱),"[{'text': 'درویش\u200cخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86,1926,11,24,https://en.wikipedia.org/wiki/Darvish_Khan,Darvish Khan,Master of Iranian Music (born 1)
1306,8,10,عبدالمجید عین‌الدوله,صدراعظم مظفرالدین‌شاه (زاده ۱۲۲۴),"[{'text': 'عبدالمجید عین\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,1927,11,2,https://en.wikipedia.org/wiki/Abdol_Majid_Mirza,Abdol Majid Mirza,Chancellor Mozaffar al -Din Shah (born 2)
1306,10,4,ابوالقاسم ناصرالملک,سیاستمدار ایرانی (زاده ۱۲۴۵),"[{'text': 'ابوالقاسم ناصرالملک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9,1927,12,26,https://en.wikipedia.org/wiki/Abolqasem_Naser_ol-Molk,Abolqasem Naser ol-Molk,Iranian politician (born 1)
1311,6,6,حسن مستوفی,(معروف به مستوفی الممالک) سیاست‌مدار.,"[{'text': 'حسن مستوفی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C%E2%80%8C%D8%A7%D9%84%D9%85%D9%85%D8%A7%D9%84%DA%A9'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C%E2%80%8C%D8%A7%D9%84%D9%85%D9%85%D8%A7%D9%84%DA%A9,1932,8,28,https://en.wikipedia.org/wiki/Mostowfi_ol-Mamalek,Mostowfi ol-Mamalek,(Known as Mostofi al -Mamalek) Politician.
1311,7,16,صولت‌الدوله,قشقایی در زندان قصر درگذشت,"[{'text': 'صولت\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D9%88%D9%84%D8%AA%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87_%D9%82%D8%B4%D9%82%D8%A7%DB%8C%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B5%D9%88%D9%84%D8%AA%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87_%D9%82%D8%B4%D9%82%D8%A7%DB%8C%DB%8C,1932,10,8,<No English page found>,Solat al -Dawlah,Qashqai died in Palace Prison
1311,8,16,غلامعلی دولتشاهی,(معروف به مجلل الدوله) پدرزن رضاشاه و رئیس تشریفات دربار پهلوی,"[{'text': 'غلامعلی دولتشاهی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B9%D9%84%DB%8C_%D8%AF%D9%88%D9%84%D8%AA%D8%B4%D8%A7%D9%87%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B9%D9%84%DB%8C_%D8%AF%D9%88%D9%84%D8%AA%D8%B4%D8%A7%D9%87%DB%8C,1932,11,7,<No English page found>,Gholam Ali Dolatshahi,(Known as al -Dawlah's magazine) Reza Shah's father and head of the Pahlavi court formalities
1313,11,30,محمود غنی‌زاده,شاعر,"[{'text': 'محمود غنی\u200cزاده', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%BA%D9%86%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%BA%D9%86%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,1935,2,19,<No English page found>,Mahmoud Ghanizadeh,poet
