year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english,person_name_english
1302,3,14,سید حسین کزازی,نمایندۀ کرمانشاه در مجلس شورای ملی و رئیس ادارۀ معارف کرمانشاه (زادهٔ ۱۲۵۳),"[{'text': 'سید حسین کزازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C,1923,6,5,<No English page found>,Seyyed Hossein Kazazi
1302,6,7,احمد دریابیگی,نخستین فرماندهٔ نیروی دریایی مدرن ایران در خلیج فارس,"[{'text': 'احمد دریابیگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,1923,8,30,https://en.wikipedia.org/wiki/Ahmad_Khan_Daryabeigi,Ahmad Khan Daryabeigi
1302,8,23,محمدیعقوب خان,پادشاه افغانستان (زاده ۱۲۲۸),"[{'text': 'محمدیعقوب خان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86,1923,11,15,https://en.wikipedia.org/wiki/Mohammad_Yaqub_Khan,Mohammad Yaqub Khan
1304,12,22,ایرج میرزا,شاعر ایرانی (زاده ۱۲۵۱),"[{'text': 'ایرج میرزا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,1926,3,13,https://en.wikipedia.org/wiki/Iraj_Mirza,Iraj Mirza
1305,3,6,ادیب نیشابوری,شاعر ایرانی (زاده ۱۲۴۳),"[{'text': 'ادیب نیشابوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C,1926,5,28,<No English page found>,Adib Neyshaburi
1305,4,2,یوسف ارفعی,نظامی ایرانی (زاده ۱۲۷۰),"[{'text': 'یوسف ارفعی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B1%D9%81%D8%B9%DB%8C,1926,6,24,<No English page found>,Yusuf Arfaei
1305,6,27,محمدولی خان تنکابنی,سیاستمدار و رئیس‌الوزرای دوره قاجار (زاده ۱۲۲۵),"[{'text': 'محمدولی خان تنکابنی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%88%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C,1926,9,19,https://en.wikipedia.org/wiki/Mohammad_Vali_Khan_Khalatbari_Tonekaboni,Mohammad Vali Khan Khalatbari Tonekaboni
1305,9,2,درویش‌خان,استاد موسیقی ایرانی (زاده ۱۲۵۱),"[{'text': 'درویش\u200cخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86'}]",https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%D9%88%DB%8C%D8%B4%E2%80%8C%D8%AE%D8%A7%D9%86,1926,11,24,https://en.wikipedia.org/wiki/Darvish_Khan,Darvish Khan
1306,8,10,عبدالمجید عین‌الدوله,صدراعظم مظفرالدین‌شاه (زاده ۱۲۲۴),"[{'text': 'عبدالمجید عین\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,1927,11,2,https://en.wikipedia.org/wiki/Abdol_Majid_Mirza,Abdol Majid Mirza
1306,10,4,ابوالقاسم ناصرالملک,سیاستمدار ایرانی (زاده ۱۲۴۵),"[{'text': 'ابوالقاسم ناصرالملک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9,1927,12,26,https://en.wikipedia.org/wiki/Abolqasem_Naser_ol-Molk,Abolqasem Naser ol-Molk
