,title_calender,year,month,day,link_calender,description,category_calender,title_year,link_year,category_year
0,علی دریابیگی,1370,1,1,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,,Death,علی دریابیگی، کارگردان (زاده1282),https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,Death
1,کلارا آبکار,1375,1,1,https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D8%A7%D8%B1%D8%A7_%D8%A2%D8%A8%DA%A9%D8%A7%D8%B1,,Death,کلارا آبکار،نگارگر، مینیاتوریست و تذهیب کار ایرانی ارمنی تبار (زاده 1294),https://fa.wikipedia.org/wiki/%D9%86%DA%AF%D8%A7%D8%B1%DA%AF%D8%B1,Death
2,خدیجه ثقفی,1388,1,1,https://fa.wikipedia.org/wiki/%D8%AE%D8%AF%DB%8C%D8%AC%D9%87_%D8%AB%D9%82%D9%81%DB%8C,,Death,خدیجه ثقفی، همسرروح الله خمینی. (زاده1292),https://fa.wikipedia.org/wiki/%D8%AE%D8%AF%DB%8C%D8%AC%D9%87_%D8%AB%D9%82%D9%81%DB%8C,Death
3,پارسا تویسرکانی,1369,1,2,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7_%D8%AA%D9%88%DB%8C%D8%B3%D8%B1%DA%A9%D8%A7%D9%86%DB%8C,,Death,پارسا تویسرکانی، نویسنده و شاعر (زاده1288),https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7_%D8%AA%D9%88%DB%8C%D8%B3%D8%B1%DA%A9%D8%A7%D9%86%DB%8C,Death
4,احمد سمیعی گیلانی,1402,1,2,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C_%DA%AF%DB%8C%D9%84%D8%A7%D9%86%DB%8C,,Death,احمد سمیعی گیلانی، مترجم، ویراستار و نویسنده (زاده1299),https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C_%DA%AF%DB%8C%D9%84%D8%A7%D9%86%DB%8C,Death
5,سید جلال‌الدین میری آشتیانی,1384,1,3,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%DB%8C_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C,,Death,سید جلال الدین آشتیانی، فیلسوف (زاده1304),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C,Death
6,رافیک آرزومانیان,1379,1,4,https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D9%81%DB%8C%DA%A9_%D8%A2%D8%B1%D8%B2%D9%88%D9%85%D8%A7%D9%86%DB%8C%D8%A7%D9%86,,Death,رافیک آرزومانیان، فیلمبردار و تصویر بردار ایرانی ارمنی تبار (زاده1323),https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D9%81%DB%8C%DA%A9_%D8%A2%D8%B1%D8%B2%D9%88%D9%85%D8%A7%D9%86%DB%8C%D8%A7%D9%86,Death
7,محمد مددپور,1384,1,4,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AF%D8%AF%D9%BE%D9%88%D8%B1,,Death,محمد مددپور، نویسنده، محقق و فیلسوف (زاده1334),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AF%D8%AF%D9%BE%D9%88%D8%B1,Death
8,محمد مددپور,1384,1,4,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AF%D8%AF%D9%BE%D9%88%D8%B1,,Death,محمدمهدی مظلوم زاده، محقق و نویسنده (زاده1327),https://fa.wikipedia.org/w/index.php?title=%D9%85%D8%AD%D9%85%D8%AF%D9%85%D9%87%D8%AF%DB%8C_%D9%85%D8%B8%D9%84%D9%88%D9%85%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87&action=edit&redlink=1,Death
9,لرتا,1377,1,7,https://fa.wikipedia.org/wiki/%D9%84%D8%B1%D8%AA%D8%A7,,Death,لرتا، بازیگر تئاتر و سینما ایرانی ارمنی تبار (زاده1290),https://fa.wikipedia.org/wiki/%D9%84%D8%B1%D8%AA%D8%A7,Death
10,نورمحمد ذوالفقاری,1402,1,7,https://fa.wikipedia.org/wiki/%D9%86%D9%88%D8%B1%D9%85%D8%AD%D9%85%D8%AF_%D8%B0%D9%88%D8%A7%D9%84%D9%81%D9%82%D8%A7%D8%B1%DB%8C,,Death,نورمحمد ذوالفقاری، بازیگر سینما و تلویزیون (زاده1329),https://fa.wikipedia.org/wiki/%D9%86%D9%88%D8%B1%D9%85%D8%AD%D9%85%D8%AF_%D8%B0%D9%88%D8%A7%D9%84%D9%81%D9%82%D8%A7%D8%B1%DB%8C,Death
11,عبدالحسین سپنتا,1348,1,8,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%BE%D9%86%D8%AA%D8%A7,,Death,عبدالحسین سپنتا،کارگردان,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%BE%D9%86%D8%AA%D8%A7,Death
12,سید حسن حسینی,1383,1,9,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AD%D8%B3%DB%8C%D9%86%DB%8C,,Death,سید حسن حسینی، شاعر، مترجم و نویسنده (زاده1335),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AD%D8%B3%DB%8C%D9%86%DB%8C,Death
13,ژاله کاظمی,1383,1,12,https://fa.wikipedia.org/wiki/%DA%98%D8%A7%D9%84%D9%87_%DA%A9%D8%A7%D8%B8%D9%85%DB%8C,,Death,ژاله کاظمی، دوبلور، گوینده، مجری تلویزیون و نقاش (زاده1322),https://fa.wikipedia.org/wiki/%DA%98%D8%A7%D9%84%D9%87_%DA%A9%D8%A7%D8%B8%D9%85%DB%8C,Death
14,جلیل زندی,1380,1,12,https://fa.wikipedia.org/wiki/%D8%AC%D9%84%DB%8C%D9%84_%D8%B2%D9%86%D8%AF%DB%8C,,Death,سرتیپ دومجلیل زندی، خلبان (زاده1330),https://fa.wikipedia.org/wiki/%D8%AC%D9%84%DB%8C%D9%84_%D8%B2%D9%86%D8%AF%DB%8C,Death
15,پروین اعتصامی,1320,1,15,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,,Death,پروین اعتصامی، شاعر معاصر ایران,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,Death
16,محمدعلی‌شاه,1304,1,16,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,,Death,محمدعلی شاه، ششمین شاه قاجار (زاده1251),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%B4%D8%A7%D9%87,Death
