id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
3.0,1205-04-28,1826-07-19,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),The beginning of the Iran-Russia war (1826-1828),https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B1%D9%88%D8%B3%DB%8C%D9%87_(%DB%B1%DB%B8%DB%B2%DB%B8%E2%80%93%DB%B1%DB%B8%DB%B2%DB%B6),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%931828),,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4.0,1206-04-21,1827-07-13,آغاز محاصره عباس‌آباد,The beginning of the siege of Abbasabad,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
5.0,1206-04-27,1827-07-19,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,The end of the siege of Abbasabad and the capture of Abbasabad,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D8%B1%D9%81_%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Capture_of_Abbasabad,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
8.0,1207-11-22,1829-02-11,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,The attack on the Russian embassy in Tehran and the murder of the Russian ambassador Alexander Gribaidov,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%A9%D8%B3%D8%A7%D9%86%D8%AF%D8%B1_%DA%AF%D8%B1%DB%8C%D8%A8%D8%A7%DB%8C%D8%AF%D9%88%D9%81,https://en.wikipedia.org/wiki/Alexander_Griboyedov,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
17.0,1231-05-04,1852-07-26,ترور نافرجام ناصرالدین‌شاه,The failed assassination of Naser al-Din Shah,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
44.0,1286-05-10,1907-08-02,تجاوز نظامی عثمانی به ایران با سوءاستفاده از اوضاع کشور در جریان مشروطه.,Ottoman military aggression against Iran by abusing the country's situation during the constitutional process.,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
54.0,1287-04-02,1908-06-23,به‌توپ بستن مجلس,Closing the parliament,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%E2%80%8C%D8%AA%D9%88%D9%BE_%D8%A8%D8%B3%D8%AA%D9%86_%D9%85%D8%AC%D9%84%D8%B3,https://en.wikipedia.org/wiki/1908_bombardment_of_the_Majlis,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
63.0,1288-03-28,1909-06-18,سردار اسعد بختیاری با قوایی شامل هزار سوار پیشروی خود را به سوی تهران آغاز کردند. این نیروها با پیوستن به انقلابیون دیگر به زودی دولت استبدادی محمد علی شاه قاجار را ساقط و خود او را به خارج از کشور تبعید کردند.,"Sardar Asad Bakhtiari started his advance towards Tehran with a force of 1000 riders. By joining other revolutionaries, these forces soon overthrew the autocratic government of Mohammad Ali Shah Qajar and exiled him abroad.",,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
65.0,1288-04-22,1909-07-13,ورود نیروهای مجاهدین بختیاری و گیلکی و فتح تهران در جریان انقلاب مشروطه.,The arrival of Bakhtiari and Gilki Mujahideen forces and conquest of Tehran during the constitutional revolution.,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
68.0,1288-05-09,1909-07-31,اعدام شیخ فضل الله نوری با حکم دادگاه انقلاب مشروطیت به جرم مخالفت با نظام مشروطه.,The execution of Sheikh Fazlullah Nouri by the verdict of the Constitutional Revolution Court for the crime of opposing the constitutional system.,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%AE_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%86%D9%88%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Fazlullah_Nouri,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
