id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
6.0,1206-12-01,1828-02-21,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,The signing of the Treaty of Turkmanchai between the Qajar dynasty of Iran and the Russian Empire,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86%DA%86%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Treaty_of_Turkmenchay,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
21.0,1251-05-03,1872-07-24,واگذاری امتیاز بهره‌برداری از معادن ایران به رویتر انگلیسی در زمان ناصرالدین شاه,Handing over the privilege of exploiting Iran's mines to English Reuters during the time of Naser al-Din Shah,,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
26.0,1268-12-29,1890-03-20,امضا شدن قرارداد رژی,The signing of the contract,https://fa.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF_%D8%B1%DA%98%DB%8C,<No English page found>,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
28.0,1272-04-29,1893-07-20,واگذاری شیلات شمال ایران به استفان لیانازوف، سرمایه دار روسی,"Handing over the fisheries of northern Iran to Stephan Lianazov, a Russian capitalist",,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
31.0,1280-03-07,1901-05-28,امتیازنامه دارسی بین حکومت ایران با ویلیام ناکس دارسی امضا شد,The Darcy concession was signed between the government of Iran and William Knox Darcy,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D8%AA%DB%8C%D8%A7%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D8%AF%D8%A7%D8%B1%D8%B3%DB%8C,https://en.wikipedia.org/wiki/D%27Arcy_Concession,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
32.0,1284-02-03,1905-04-23,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,Sepahdar Tankabani was deposed as the head of the vice-ministers and the Samsam Majlis appointed Sultaneh Bakhtiari as the head of the vice-ministers.,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,1,0,0,1,1,0,0,0
39.0,1285-08-18,1906-11-10,رد دریافت وام دو و نیم میلیون تومانی دولت از خارج توسط مجلس شورای ملی با استدلال تضعیف حاکمیت ملی,Rejection of two and a half million tomans government loan from abroad by the National Council with the argument of weakening national sovereignty,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
50.0,1286-09-05,1907-11-27,مجلس جدید التاسیس شورا، بودجه دربار را سیصد هزار تومان کسر و به پانصد هزار تومان کاهش داد و شهریه زنان ناصرالدین شاه را هم حذف کرد، که این عمل، شروع دشمنی محمدعلی شاه قاجار با مجلس بود.,"The newly established assembly of the Shura reduced the budget of the court by 300 thousand tomans and reduced it to 500 thousand tomans and eliminated the tuition fees of Naser al-Din Shah's women, which was the beginning of Muhammad Ali Shah Qajar's enmity with the assembly.",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mohammad_Ali_Shah_Qajar,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
53.0,1287-03-05,1908-05-26,کشف نخستین چاه میدان نفتی مسجد سلیمان,Discovery of the first oil field well in Masjid Suleiman,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D9%86%D9%81%D8%AA%DB%8C_%D9%85%D8%B3%D8%AC%D8%AF_%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86,https://en.wikipedia.org/wiki/Masjed_Soleyman_oil_field,,قاجار,Qajar,0,1,0,0,0,0,0,1,0
71.0,1288-12-28,1910-03-19,منصوب شدن شکرالله قوام‌الدوله به‌عنوان نخشت‌وزیر تجارت ایران,The appointment of Shukrullah Qavam-doleh as the first minister of trade of Iran,https://fa.wikipedia.org/wiki/%D8%B4%DA%A9%D8%B1%D8%A7%D9%84%D9%84%D9%87_%D9%82%D9%88%D8%A7%D9%85%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,<No English page found>,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
96.0,1298-04-04,1919-06-26,حدود دو سال پس از پیروزی انقلاب اکتبر، دولت شوروی (با تسلیم یادداشتی به دولت ایران) اصول سیاست خود در قبال ایران را تشریح کرد، لغو امتیازات، کاپیتولاسیون، بخشیدن بدهی ایران، تحویل راه‌ها و خطوط آهن و بنادر از موارد مهم آن بود که دو سال بعد در قرارداد ۱۹۲۱ قید شد,"About two years after the victory of the October Revolution, the Soviet government (by submitting a memorandum to the Iranian government) explained the principles of its policy towards Iran, canceling concessions, capitulation, forgiving Iran's debt, handing over roads and railways and ports were among the important things that were stated in the 1921 agreement two years later.",https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D8%A7%DA%A9%D8%AA%D8%A8%D8%B1,https://en.wikipedia.org/wiki/October_Revolution,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
