id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
180.0,1301-01-01,1922-03-22,آمار مرگ و میر تهران در سال ۱۳۰۰ خورشیدی اعلام شد: ۲۸۰۲ مرد و ۱۹۱۶ زن و در مجموع ۴۷۱۸ نفر.,The death statistics of Tehran in the year 1300 were announced: 2802 men and 1916 women and a total of 4718 people.,,,,قاجار,Qajar,0,0,1,0,0,1,0,0,0
240.0,1301-04-06,1922-06-28,کارگزار وزارت خارجه در خرمشهر گزارش داد که هزینه لوازم بیمارستانی که در این شهر ساخته شده توسط رئیس کمپانی نفت ایران و انگلیس برای سردار اقدس (شیخ خزعل) تأمین شده است.,The agent of the Ministry of Foreign Affairs in Khorramshahr reported that the cost of the hospital equipment made in this city was provided by the head of Iran and British Oil Company for Sardar Aqdas (Sheikh Khazal).,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%AE_%D8%AE%D8%B2%D8%B9%D9%84,https://en.wikipedia.org/wiki/Khaz%CA%BDal_Ibn_Jabir,,قاجار,Qajar,0,0,1,0,1,0,0,0,0
295.0,1302-03-31,1923-06-22,تصویب استخدام لامبر مولیتر (Lambert Molitor) به عنوان رئیس کل گمرکات ایران، دو کارشناس بلژیکی برای اداره پست، ستوان گونار وستداهل برای نظمیه، دکتر ژوزف منار (Joseph Mesnard) فرانسوی به ریاست انستیتو پاستور توسط مجلس شورای ملی,"The National Assembly approved the hiring of Lambert Molitor as the head of Iran's customs, two Belgian experts for the post office, Lieutenant Gunnar Westdahl for discipline, and Dr. Joseph Mesnard from France as the head of the Pasteur Institute.",https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar,0,0,1,0,1,1,0,0,0
297.0,1302-05-05,1923-07-28,تشکیل جمعیت شیر و خورشید سرخ به همت دکتر امیر خان امیراعلم,Formation of Shir and Khurshid Red Jamiat by Dr. Amir Khan Amir Alam,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1_%D8%AE%D8%A7%D9%86_%D8%A7%D9%85%DB%8C%D8%B1%D8%A7%D8%B9%D9%84%D9%85,<No English page found>,,قاجار,Qajar,0,0,1,0,0,1,0,0,0
320.0,1303-10-16,1925-01-06,تاسیس مؤسسه تحقیقات واکسن و سرم‌سازی رازی,Establishment of Razi Vaccine and Serum Research Institute,https://fa.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D9%87_%D8%AA%D8%AD%D9%82%DB%8C%D9%82%D8%A7%D8%AA_%D9%88%D8%A7%DA%A9%D8%B3%D9%86_%D9%88_%D8%B3%D8%B1%D9%85%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C_%D8%B1%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Razi_Vaccine_and_Serum_Research_Institute,,قاجار,Qajar,0,0,1,0,0,0,0,1,0
321.0,1303-10-16,1925-01-06,بنیانگذاری مؤسسه تحقیقات واکسن و سرم‌سازی رازی.,Foundation of Razi Vaccine and Serum Research Institute.,https://fa.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D9%87_%D8%AA%D8%AD%D9%82%DB%8C%D9%82%D8%A7%D8%AA_%D9%88%D8%A7%DA%A9%D8%B3%D9%86_%D9%88_%D8%B3%D8%B1%D9%85%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C_%D8%B1%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Razi_Vaccine_and_Serum_Research_Institute,,قاجار,Qajar,0,0,1,0,0,0,0,1,0
440.0,1320-06-30,1941-09-21,دو وزارت خانه جدید بنام «وزارت بهداری» و «وزارت کشاورزی» تشکیل شد و لایحه آن تسلیم مجلس گردید.,"Two new ministries named ""Ministry of Health"" and ""Ministry of Agriculture"" were formed and the bill was submitted to the parliament.",,,,پهلوی,Pahlavi,0,1,1,0,1,0,0,0,0
601.0,1342-11-29,1964-02-18,مجلس شورای ملی لایحه ایجاد سپاه بهداشت را تصویب کرد.,The National Council approved the bill to establish the Health Corps.,https://fa.wikipedia.org/wiki/%D8%B3%D9%BE%D8%A7%D9%87_%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA,<No English page found>,,پهلوی,Pahlavi,0,0,1,0,1,1,0,0,0
741.0,1354-01-00,1975-03-21,فروردین - تهران - فلاندرن برای نمونه برداری از طحال محمدرضا پهلوی به تهران می‌آید. محمدرضا دچار تورم شدید طحال است. این سومین عیادت فلاندرن متخصص فرانسوی از محمدرضاست.,Farvardin - Tehran - Flandren will come to Tehran to take samples from the spleen of Mohammad Reza Pahlavi. Mohammadreza has a severe swelling of the spleen. This is the third visit of French specialist Flandren to Mohammad Reza.,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D9%BE%D9%87%D9%84%D9%88%DB%8C,https://en.wikipedia.org/wiki/Mohammad_Reza_Pahlavi,,پهلوی,Pahlavi,0,0,1,0,1,0,0,0,0
897.0,1359-04-10,1980-07-01,تغییر نام شیر و خورشید سرخ به هلال احمر پس از انقلاب اسلامی در ایران,Changing the name of Red Lion and Red Sun to Red Crescent after the Islamic Revolution in Iran,https://fa.wikipedia.org/wiki/%D9%87%D9%84%D8%A7%D9%84_%D8%A7%D8%AD%D9%85%D8%B1,https://en.wikipedia.org/wiki/Hilal_Ahmar,,جمهوری اسلامی,Islamic Republic,0,0,1,0,0,1,0,0,0
1054.0,1366-04-07,1987-06-28,بمباران شیمیایی سردشت,Sardasht chemical bombing,https://fa.wikipedia.org/wiki/%D8%A8%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D9%86_%D8%B4%DB%8C%D9%85%DB%8C%D8%A7%DB%8C%DB%8C_%D8%B3%D8%B1%D8%AF%D8%B4%D8%AA,https://en.wikipedia.org/wiki/Chemical_bombing_of_Sardasht,,جمهوری اسلامی,Islamic Republic,1,0,1,0,1,0,0,0,0
1065.0,1366-07-16,1987-10-08,بمباران شیمیایی شهر سومار در استان کرمانشاه توسط ارتش بعث عراق,"Iran's constitutional referendum, elimination of the position of prime minister and elimination of the condition of authority for leadership and formation of the Expediency Council.",https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Kermanshah_province,,جمهوری اسلامی,Islamic Republic,1,0,1,0,1,0,0,0,0
1070.0,1366-10-18,1988-01-08,تصویب تشکیل فرهنگستان علوم پزشکی جمهوری اسلامی ایران در مجلس شورای اسلامی و آغاز به کار آن,Approval of the establishment of the Academy of Medical Sciences of the Islamic Republic of Iran in the Islamic Council and the start of its work,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%87%D9%86%DA%AF%D8%B3%D8%AA%D8%A7%D9%86_%D8%B9%D9%84%D9%88%D9%85_%D9%BE%D8%B2%D8%B4%DA%A9%DB%8C,https://en.wikipedia.org/wiki/Iranian_Academy_of_Medical_Sciences,,جمهوری اسلامی,Islamic Republic,0,0,1,0,0,1,0,1,0
1075.0,1366-12-25,1988-03-15,بمباران شیمیایی حلبچه به‌دست ارتش عراق,The launch of Iran's first ballistic missile from Kermanshah to the Kirkuk refinery in Iraq,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D8%B1%D9%88%D9%87%D8%A7%DB%8C_%D9%85%D8%B3%D9%84%D8%AD_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iraqi_Armed_Forces,,جمهوری اسلامی,Islamic Republic,1,0,1,0,1,0,0,0,0
1076.0,1366-12-25,1988-03-15,حمله شیمیایی به حلبچه موسوم به کشتار حلبچه یا جمعهٔ خونین,Chemical attack on Halabja known as Halabja massacre or Bloody Friday,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF%E2%80%8C%D8%A7%D9%81%D8%B2%D8%A7%D8%B1_%D8%B4%DB%8C%D9%85%DB%8C%D8%A7%DB%8C%DB%8C,https://en.wikipedia.org/wiki/Chemical_weapon,,جمهوری اسلامی,Islamic Republic,1,0,1,0,1,0,0,0,0
