id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
1.0,1202-05-06,1823-07-29,امضا شدن نخستین عهدنامه از عهدنامه‌های ارزروم در میان حکومت دودمان قاجار از ایران با امپراتوری عثمانی,The signing of the first treaty of the Erzurum treaties between the rule of the Qajar dynasty from Iran and the Ottoman Empire,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A7%D8%B1%D8%B2%D8%B1%D9%88%D9%85,https://en.wikipedia.org/wiki/Treaties_of_Erzurum,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
3.0,1205-04-28,1826-07-19,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),The beginning of the Iran-Russia war (1826-1828),https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B1%D9%88%D8%B3%DB%8C%D9%87_(%DB%B1%DB%B8%DB%B2%DB%B8%E2%80%93%DB%B1%DB%B8%DB%B2%DB%B6),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%931828),,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4.0,1206-04-21,1827-07-13,آغاز محاصره عباس‌آباد,The beginning of the siege of Abbasabad,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
5.0,1206-04-27,1827-07-19,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,The end of the siege of Abbasabad and the capture of Abbasabad,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D8%B1%D9%81_%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Capture_of_Abbasabad,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
6.0,1206-12-01,1828-02-21,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,The signing of the Treaty of Turkmanchai between the Qajar dynasty of Iran and the Russian Empire,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86%DA%86%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Treaty_of_Turkmenchay,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
7.0,1206-12-02,1828-02-22,پایان جنگ ۱۸۲۶ تا ۱۸۲۸ ایران و روسیه,The end of the 1826-1828 war between Iran and Russia,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
8.0,1207-11-22,1829-02-11,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,The attack on the Russian embassy in Tehran and the murder of the Russian ambassador Alexander Gribaidov,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%A9%D8%B3%D8%A7%D9%86%D8%AF%D8%B1_%DA%AF%D8%B1%DB%8C%D8%A8%D8%A7%DB%8C%D8%AF%D9%88%D9%81,https://en.wikipedia.org/wiki/Alexander_Griboyedov,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
10.0,1226-03-10,1847-05-31,دومین عهدنامه از عهدنامه‌های ارزروم بین ایران و امپراتوری عثمانی امضا شد.,The second treaty of Erzurum was signed between Iran and the Ottoman Empire.,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Ottoman_Empire,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
11.0,1227-06-22,1848-09-13,آغاز پادشاهی ناصرالدین‌شاه,The beginning of Naser al-Din Shah's reign,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
12.0,1227-07-28,1848-10-20,آغاز صدراعظمی امیرکبیر به فرمان ناصرالدین شاه,The beginning of Amir Kabir's chancellorship by the order of Naseruddin Shah,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
13.0,1229-03-06,1850-05-27,آغاز شورش بابیان نی‌ریز,The beginning of the Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
14.0,1229-03-31,1850-06-21,پایان شورش بابیان نی‌ریز,The end of Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
17.0,1231-05-04,1852-07-26,ترور نافرجام ناصرالدین‌شاه,The failed assassination of Naser al-Din Shah,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
18.0,1235-11-05,1857-01-25,بنیان‌گذاری سفارت ایران در فرانسه,The establishment of the Iranian embassy in France,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
19.0,1235-12-13,1857-03-04,بین ایران و انگلستان معاهده پاریس بسته شد,The Treaty of Paris was signed between Iran and England,https://fa.wikipedia.org/wiki/%D9%85%D8%B9%D8%A7%D9%87%D8%AF%D9%87_%D9%BE%D8%A7%D8%B1%DB%8C%D8%B3_(%DB%B1%DB%B8%DB%B5%DB%B7),https://en.wikipedia.org/wiki/Treaty_of_Paris_(1857),,قاجار,Qajar,0,0,0,0,1,0,0,0,0
21.0,1251-05-03,1872-07-24,واگذاری امتیاز بهره‌برداری از معادن ایران به رویتر انگلیسی در زمان ناصرالدین شاه,Handing over the privilege of exploiting Iran's mines to English Reuters during the time of Naser al-Din Shah,,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
22.0,1252-01-30,1873-04-19,آغاز نخستین سفر ناصرالدین‌شاه به اروپا,The beginning of Naser al-Din Shah's first trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
24.0,1260-06-30,1881-09-21,‌ بین ایران و امپراتوری روسیه پیمان آخال امضا شد,Akhal Treaty was signed between Iran and the Russian Empire,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B1%D9%88%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Russian_Empire,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
25.0,1268-01-24,1889-04-13,آغاز سومین سفر ناصرالدین‌شاه به اروپا,The beginning of Naser al-Din Shah's third trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
26.0,1268-12-29,1890-03-20,امضا شدن قرارداد رژی,The signing of the contract,https://fa.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF_%D8%B1%DA%98%DB%8C,<No English page found>,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
28.0,1272-04-29,1893-07-20,واگذاری شیلات شمال ایران به استفان لیانازوف، سرمایه دار روسی,"Handing over the fisheries of northern Iran to Stephan Lianazov, a Russian capitalist",,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
29.0,1277-07-26,1898-10-18,انتشار روزنامه تندرو مساوات، به مدیریت سید محمدرضا شیرازی، در تهران,"The publication of the radical Equality newspaper, under the management of Seyed Mohammad Reza Shirazi, in Tehran",,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
31.0,1280-03-07,1901-05-28,امتیازنامه دارسی بین حکومت ایران با ویلیام ناکس دارسی امضا شد,The Darcy concession was signed between the government of Iran and William Knox Darcy,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D8%AA%DB%8C%D8%A7%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D8%AF%D8%A7%D8%B1%D8%B3%DB%8C,https://en.wikipedia.org/wiki/D%27Arcy_Concession,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
32.0,1284-02-03,1905-04-23,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,Sepahdar Tankabani was deposed as the head of the vice-ministers and the Samsam Majlis appointed Sultaneh Bakhtiari as the head of the vice-ministers.,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,1,0,0,1,1,0,0,0
33.0,1285-04-24,1906-07-16,مهاجرت علما و مردم تهران به قم و آغاز هجرت کبری در جریان نهضت مشروطه,The migration of scholars and people of Tehran to Qom and the beginning of the great migration during the constitutional movement,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
34.0,1285-05-13,1906-08-05,صدور فرمان مشروطیت در ایران، توسط مظفرالدین شاه پنجمین شاه قاجار,"Issuing the decree of constitutionalism in Iran, by Muzaffar al-Din Shah, the fifth king of Qajar",https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
35.0,1285-05-14,1906-08-06,صدور فرمان مشروطیت.,Issuance of constitutional decree.,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
36.0,1285-06-17,1906-09-09,توشیح نظامنامه انتخابات اصنافی توسط مظفرالدین‌شاه قاجار,Ratification of trade union election regulations by Mozafaruddin Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
37.0,1285-06-17,1906-09-09,برکناری عین‌الدوله از رئیس‌الوزرایی توسط مظفرالدین‌شاه,Ain al-Dawlah's removal from the post of prime minister by Muzaffar al-Din Shah,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
38.0,1285-06-25,1906-09-17,برگزاری نخستین انتخابات مجلس شورای ملی,Holding the first election of the National Assembly,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
39.0,1285-08-18,1906-11-10,رد دریافت وام دو و نیم میلیون تومانی دولت از خارج توسط مجلس شورای ملی با استدلال تضعیف حاکمیت ملی,Rejection of two and a half million tomans government loan from abroad by the National Council with the argument of weakening national sovereignty,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
40.0,1285-09-03,1906-11-25,آغاز انتشار روزنامه مجلس,The publication of the Majlis newspaper began,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
41.0,1285-10-08,1906-12-30,مظفرالدین‌شاه قانون اساسی مشروطه را امضا کرد,Muzaffaruddin Shah signed the constitutional law,https://fa.wikipedia.org/wiki/%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%A7%D8%B3%D8%A7%D8%B3%DB%8C_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87,https://en.wikipedia.org/wiki/Persian_Constitution_of_1906,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
42.0,1285-10-28,1907-01-19,آغاز رسمی سلطنت محمدعلی‌شاه,The official beginning of the reign of Muhammad Ali Shah,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
43.0,1286-03-12,1907-06-03,بنیان‌گذاری شهرداری تهران,Foundation of Tehran municipality,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tehran_Municipality,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
44.0,1286-05-10,1907-08-02,تجاوز نظامی عثمانی به ایران با سوءاستفاده از اوضاع کشور در جریان مشروطه.,Ottoman military aggression against Iran by abusing the country's situation during the constitutional process.,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
