id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
9.0,1216-02-11,1837-05-01,انتشار کاغذ اخبار نخستین نشریه فارسی‌زبان در تهران,Publication of the first Farsi-language newspaper in Tehran,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%BA%D8%B0_%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Kaghaz-e_Akhbar,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
13.0,1229-03-06,1850-05-27,آغاز شورش بابیان نی‌ریز,The beginning of the Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
14.0,1229-03-31,1850-06-21,پایان شورش بابیان نی‌ریز,The end of Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
15.0,1229-11-18,1851-02-07,انتشار نخستین شماره از روزنامه وقایع اتفاقیه در ایران. این روزنامه به کوشش امیرکبیر منتشر شد.,"The publication of the first issue of the newspaper ""Vaqe'i-e-e-Tassahiyeh"" in Iran. This newspaper was published due to the efforts of Amir Kabir.",https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D9%88%D9%82%D8%A7%DB%8C%D8%B9_%D8%A7%D8%AA%D9%81%D8%A7%D9%82%DB%8C%D9%87,https://en.wikipedia.org/wiki/Vaqaye-e_Ettefaqiyeh,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
16.0,1230-10-06,1851-12-27,بنیانگذاری دارالفنون نخستین مرکز آموزش عالی نوین ایران به ابتکار میرزاتقی‌خان امیرکبیر,"The establishment of Dar al-Funun, the first modern higher education center in Iran, was initiated by Mirzataghi Khan Amirkabir",https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
20.0,1240-08-02,1861-10-24,اولین خط تلگراف قاره‌پیما، در ایالات متحده آمریکا، با ارسال پیام «به پایان رسید.» تکمیل شد.,"The first transcontinental telegraph line, in the United States, sent the message ""Ended."" completed",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7,https://en.wikipedia.org/wiki/United_States,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
22.0,1252-01-30,1873-04-19,آغاز نخستین سفر ناصرالدین‌شاه به اروپا,The beginning of Naser al-Din Shah's first trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
23.0,1252-11-14,1874-02-03,انتشار شمس‌النهار، نخستین روزنامه در افغانستان و در سلطنت شیرعلی خان.(۱۵ ذی‌الحجه ۱۲۹۰ق).[۱],"Publication of Shamsul Nahar, the first newspaper in Afghanistan during the reign of Shir Ali Khan (15 Dhul Hijjah 1290 AH).",https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%B1%D8%B9%D9%84%DB%8C_%D8%AE%D8%A7%D9%86,https://en.wikipedia.org/wiki/Sher_Ali_Khan,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
25.0,1268-01-24,1889-04-13,آغاز سومین سفر ناصرالدین‌شاه به اروپا,The beginning of Naser al-Din Shah's third trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
27.0,1270-05-08,1891-07-30,ترجمه کتاب سیاست نامه خواجه نظام الملک به زبان فرانسوی.,Translation of Khwaja Nizam al-Mulk's policy book in French.,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D9%86%D8%A7%D9%85%D9%87,https://en.wikipedia.org/wiki/Siyasatnama,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
29.0,1277-07-26,1898-10-18,انتشار روزنامه تندرو مساوات، به مدیریت سید محمدرضا شیرازی، در تهران,"The publication of the radical Equality newspaper, under the management of Seyed Mohammad Reza Shirazi, in Tehran",,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
30.0,1279-09-21,1900-12-12,ورود اولین اتومبیل به ایران در زمان مظفرالدین شاه قاجار,The arrival of the first car in Iran during the time of Mozaffaruddin Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
32.0,1284-02-03,1905-04-23,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,Sepahdar Tankabani was deposed as the head of the vice-ministers and the Samsam Majlis appointed Sultaneh Bakhtiari as the head of the vice-ministers.,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,1,0,0,1,1,0,0,0
33.0,1285-04-24,1906-07-16,مهاجرت علما و مردم تهران به قم و آغاز هجرت کبری در جریان نهضت مشروطه,The migration of scholars and people of Tehran to Qom and the beginning of the great migration during the constitutional movement,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
40.0,1285-09-03,1906-11-25,آغاز انتشار روزنامه مجلس,The publication of the Majlis newspaper began,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
43.0,1286-03-12,1907-06-03,بنیان‌گذاری شهرداری تهران,Foundation of Tehran municipality,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tehran_Municipality,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
47.0,1286-06-18,1907-09-10,آغاز انتشار روزنامه نسیم شمال,Beginning of publication of Nasim Shamal newspaper,https://fa.wikipedia.org/wiki/%D9%86%D8%B3%DB%8C%D9%85_%D8%B4%D9%85%D8%A7%D9%84,https://en.wikipedia.org/wiki/Nasim-e-Shomal,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
51.0,1286-09-21,1907-12-13,آغاز واقعه میدان توپخانه,The beginning of the event of the Artillery Square,https://fa.wikipedia.org/wiki/%D9%88%D8%A7%D9%82%D8%B9%D9%87_%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D8%AA%D9%88%D9%BE%D8%AE%D8%A7%D9%86%D9%87,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
52.0,1286-11-18,1908-02-08,تصویب اولین قانون مطبوعات در مجلس شورای ملی,Approval of the first press law in the National Assembly,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
56.0,1287-04-02,1908-06-23,آغاز قیام و محاصره مشروطه‌خواهان تبریز,The beginning of the uprising and siege of Tabriz constitutionalists,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D9%88_%D9%85%D8%AD%D8%A7%D8%B5%D8%B1%D9%87_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87%E2%80%8C%D8%AE%D9%88%D8%A7%D9%87%D8%A7%D9%86_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,https://en.wikipedia.org/wiki/Siege_of_Tabriz_(1908%E2%80%931909),,قاجار,Qajar,0,0,0,0,1,1,0,0,0
58.0,1287-08-22,1908-11-13,مخالفت شیخ فضل‌الله نوری با مشروطیت,Sheikh Fadlullah Nouri's opposition to constitutionalism,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%AE_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%86%D9%88%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Fazlullah_Nouri,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
60.0,1288-02-09,1909-04-29,پایان قیام و محاصره مشروطه‌خواهان تبریز,The end of the uprising and siege of Tabriz constitutionalists,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D9%88_%D9%85%D8%AD%D8%A7%D8%B5%D8%B1%D9%87_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87%E2%80%8C%D8%AE%D9%88%D8%A7%D9%87%D8%A7%D9%86_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,https://en.wikipedia.org/wiki/Siege_of_Tabriz_(1908%E2%80%931909),,قاجار,Qajar,0,0,0,0,1,1,0,0,0
62.0,1288-03-11,1909-06-01,پایان تحصن روحانیون مشروطه خواه در حرم شاه عبدالعظیم و مردمی که در سفارت عثمانی گرد آمده بودند، از تحصن خارج شدند,The end of the sit-in of the constitutional clerics in the shrine of Shah Abd al-Azim and the people who had gathered in the Ottoman Embassy left the sit-in.,https://fa.wikipedia.org/wiki/%D8%AD%D8%B1%D9%85_%D8%B4%D8%A7%D9%87_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B8%DB%8C%D9%85,https://en.wikipedia.org/wiki/Shah_Abdol-Azim_Shrine,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
75.0,1289-12-01,1911-02-21,تصویب رسمی تقویم,Official approval of the calendar,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
82.0,1290-12-20,1912-03-11,آغاز انتشار روزنامه بخارای شریف,The publication of Bukhara Sharif newspaper began,,,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
