id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
342.0,1306-02-16,1927-05-07,تصویب «قانون ورزش اجباری در مدارس»,"Approval of ""Law on Compulsory Sports in Schools""",,,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
360.0,1309-05-08,1930-07-30,قهرمانی اروگوئه در جام جهانی ۱۹۳۰.,Uruguay's championship in the 1930 World Cup.,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
361.0,1309-10-09,1930-12-30,نمایش «آبی و رابی»، نخستین فیلم بلند داستانی صامت ایرانی، در سینما مایاک,"Screening of ""Abi and Robbie"", the first Iranian silent feature film, at Mayak cinema",https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DB%8C_%D9%88_%D8%B1%D8%A7%D8%A8%DB%8C,https://en.wikipedia.org/wiki/Abi_and_Rabi,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
362.0,1309-10-12,1931-01-02,نمایش «آبی و رابی»؛ نخستین فیلم بلند داستانی صامت ایرانی، در سینما مایاک.,The second treaty of Erzurum was signed between Iran and the Ottoman Empire.,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%DB%8C_%D9%88_%D8%B1%D8%A7%D8%A8%DB%8C,https://en.wikipedia.org/wiki/Abi_and_Rabi,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
392.0,1312-08-30,1933-11-21,انتشار فیلم سینمایی دختر لر,The release of the film Dokhtar Ler,https://fa.wikipedia.org/wiki/%D8%AF%D8%AE%D8%AA%D8%B1_%D9%84%D8%B1,https://en.wikipedia.org/wiki/Lor_Girl,,پهلوی,Pahlavi,0,0,0,0,0,1,1,1,0
393.0,1312-08-30,1933-11-21,نمایش «دختر لر»؛ نخستین فیلم ناطق ایرانی.,Issuance of constitutional decree.,https://fa.wikipedia.org/wiki/%D8%AF%D8%AE%D8%AA%D8%B1_%D9%84%D8%B1,https://en.wikipedia.org/wiki/Lor_Girl,,پهلوی,Pahlavi,0,0,0,0,0,1,1,1,0
394.0,1313-03-20,1934-06-10,قهرمانی ایتالیا در جام جهانی ۱۹۳۴,Italy's championship in the 1934 World Cup,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
398.0,1313-10-03,1934-12-24,تصویب قانون بنیان‌گذاری کانون جهانگردی و اتومبیل‌رانی در مجلس شورای ملی,Approval of the law establishing the center of tourism and motoring in the National Assembly,,,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
399.0,1313-10-03,1934-12-24,تصویب تأسیس کانون جهانگردی و اتومبیلرانی در مجلس شورای ملی.,Approval of the establishment of the center of tourism and motoring in the National Assembly.,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
422.0,1317-03-29,1938-06-19,قهرمانی ایتالیا در جام جهانی ۱۹۳۸,Italy's championship in the 1938 World Cup,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
428.0,1318-06-03,1939-08-26,برگزاری نخستین مسابقه‌های رسمی در ورزشگاه شهید شیرودی,Holding the first official competitions in Shahid Shiroudi Stadium,https://fa.wikipedia.org/wiki/%D9%88%D8%B1%D8%B2%D8%B4%DA%AF%D8%A7%D9%87_%D8%B4%D9%87%DB%8C%D8%AF_%D8%B4%DB%8C%D8%B1%D9%88%D8%AF%DB%8C,https://en.wikipedia.org/wiki/Shahid_Shiroudi_Stadium,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
438.0,1320-06-11,1941-09-02,محسن قاضی مرادی، بازیگر سینما و تلویزیون,"Mohsen Ghazi Moradi, film and television actor",,,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
453.0,1324-07-01,1945-09-23,افتتاح سینما رکس در خیابان لاله‌زار تهران,Opening of Rex Cinema on Lalezar Street in Tehran,https://fa.wikipedia.org/wiki/%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86_%D9%84%D8%A7%D9%84%D9%87%E2%80%8C%D8%B2%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Laleh-Zar_Street,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
454.0,1324-07-04,1945-09-26,بنیان‌گذاری باشگاه فوتبال استقلال تهران,Founding of Esteghlal football club in Tehran,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Esteghlal_F.C.,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
462.0,1325-02-25,1946-05-15,بنیان‌گذاری باشگاه فوتبال برق شیراز,Founding of Bargh Shiraz football club,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A8%D8%B1%D9%82_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2,https://en.wikipedia.org/wiki/Bargh_Shiraz_F.C.,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
484.0,1329-04-25,1950-07-16,قهرمانی اروگوئه در جام جهانی ۱۹۵۰,Uruguay's championship in the 1950 World Cup,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
526.0,1332-07-00,1953-09-23,اواخر - بنیانگذاری باشگاه شاهین اصفهان (سپاهان کنونی) توسط محمود حریری,Late - Founding of Isfahan Shaheen Club (now Sepahan) by Mahmoud Hariri,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%AD%D8%B1%DB%8C%D8%B1%DB%8C,<No English page found>,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
532.0,1332-08-28,1953-11-19,انتشار نخستین شماره مجله ستاره سینما,Publication of the first issue of Star Cinema magazine,,,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
537.0,1333-04-13,1954-07-04,قهرمانی آلمان غربی در جام جهانی ۱۹۵۴,West Germany's championship in the 1954 World Cup,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
541.0,1333-06-09,1954-08-31,سهیلا رضوی، بازیگر,"Soheila Razavi, actress",https://fa.wikipedia.org/wiki/%D8%B3%D9%87%DB%8C%D9%84%D8%A7_%D8%B1%D8%B6%D9%88%DB%8C,<No English page found>,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
544.0,1334-05-14,1955-08-06,قهرمانی ایران در مسابقات جهانی ورشو.,Iran's championship in the Warsaw World Championships.,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
558.0,1337-03-07,1958-05-28,رقابت ۷ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در بازی‌های آسیایی ۱۹۵۸,June 7 competition between the Iranian national football team and the South Korean national football team in the 1958 Asian Games,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
560.0,1337-06-09,1958-08-31,یاور تورنگ، تدوین‌گر,"Yavor Tureng, editor",https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D9%88%D8%B1_%D8%AA%D9%88%D8%B1%D9%86%DA%AF,<No English page found>,,پهلوی,Pahlavi,0,0,0,0,0,1,1,0,0
561.0,1337-07-11,1958-10-03,شروع به كار تلویزیون در ایران,The start of television in Iran,https://fa.wikipedia.org/wiki/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Television_in_Iran,,پهلوی,Pahlavi,0,0,0,0,0,1,1,1,0
564.0,1338-02-12,1959-05-03,بنیان‌گذاری باشگاه فوتبال نساجی مازندران,Seyyed Mahmoud Hosseini Shahroudi,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D9%86%D8%B3%D8%A7%D8%AC%DB%8C_%D9%85%D8%A7%D8%B2%D9%86%D8%AF%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/F.C._Nassaji_Mazandaran,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
575.0,1339-08-23,1960-11-14,باشگاه فوتبال داماش گیلان پروانه بهره برداری دریافت کرد,Damash Gilan football club received an operating license,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%AF%D8%A7%D9%85%D8%A7%D8%B4_%DA%AF%DB%8C%D9%84%D8%A7%D9%86,https://en.wikipedia.org/wiki/S.C._Damash_Gilan,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
587.0,1341-03-27,1962-06-17,قهرمانی برزیل در جام جهانی ۱۹۶۲,Brazil won the World Cup in 1962,,,,پهلوی,Pahlavi,0,0,0,0,0,0,1,0,0
