id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
16.0,1230-10-06,1851-12-27,بنیانگذاری دارالفنون نخستین مرکز آموزش عالی نوین ایران به ابتکار میرزاتقی‌خان امیرکبیر,"The establishment of Dar al-Funun, the first modern higher education center in Iran, was initiated by Mirzataghi Khan Amirkabir",https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
20.0,1240-08-02,1861-10-24,اولین خط تلگراف قاره‌پیما، در ایالات متحده آمریکا، با ارسال پیام «به پایان رسید.» تکمیل شد.,"The first transcontinental telegraph line, in the United States, sent the message ""Ended."" completed",https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7,https://en.wikipedia.org/wiki/United_States,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
30.0,1279-09-21,1900-12-12,ورود اولین اتومبیل به ایران در زمان مظفرالدین شاه قاجار,The arrival of the first car in Iran during the time of Mozaffaruddin Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
53.0,1287-03-05,1908-05-26,کشف نخستین چاه میدان نفتی مسجد سلیمان,Discovery of the first oil field well in Masjid Suleiman,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D9%86%D9%81%D8%AA%DB%8C_%D9%85%D8%B3%D8%AC%D8%AF_%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86,https://en.wikipedia.org/wiki/Masjed_Soleyman_oil_field,,قاجار,Qajar,0,1,0,0,0,0,0,1,0
80.0,1290-08-02,1911-10-25,ارویل رایت موفق شد تا با هواپیمای بدون موتور خود، به مدت ۹ دقیقه و ۴۵ ثانیه در کیل دویل هیل ایالت کارولینای شمالی، در هوا پرواز کند.,The beginning of the Iran-Russia war (1826-1828),https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%D9%88%D9%84%DB%8C%D9%86%D8%A7%DB%8C_%D8%B4%D9%85%D8%A7%D9%84%DB%8C,https://en.wikipedia.org/wiki/North_Carolina,,قاجار,Qajar,0,0,0,0,0,0,0,1,0
170.0,1300-12-00,1922-02-20,احداث نخستین کارخانه کبریت‌سازی توسط خانواده خوبیلر با وارد کردن دستگاه‌های کبریت‌سازی از سوئد,Construction of the first matchmaking factory by the Khobiler family by importing matchmaking machines from Sweden,,,,قاجار,Qajar,0,1,0,0,0,0,0,1,0
189.0,1301-01-10,1922-03-31,تأسیس اداره کل طرق و شوارع,Establishment of the General Directorate of Roads and Streets,,,,قاجار,Qajar,0,0,0,0,1,0,0,1,0
236.0,1301-04-02,1922-06-24,نماینده سیاسی ایران در فرانسه به وزارت خارجه خبر داد که احمدشاه طی گفتگو با رئیس‌جمهور فرانسه در خصوص تأسیس تلگراف بی‌سیم در ایران توافقاتی کرده است.,Iran's political representative in France informed the Ministry of Foreign Affairs that Ahmad Shah had reached an agreement with the French President regarding the establishment of a wireless telegraph in Iran.,https://fa.wikipedia.org/wiki/%D8%AA%D9%84%DA%AF%D8%B1%D8%A7%D9%81_%D8%A8%DB%8C%E2%80%8C%D8%B3%DB%8C%D9%85,https://en.wikipedia.org/wiki/Wireless_telegraphy,,قاجار,Qajar,0,0,0,0,1,0,0,1,0
243.0,1301-04-08,1922-06-30,کشف معدن سرب در کوه بی‌بی شهربانو توسط گردان مهندسین نظام,Discovery of lead mine in Bibi Shahrbanu Mountain by Nizam Engineers Battalion,,,,قاجار,Qajar,0,1,0,0,0,0,0,1,0
270.0,1301-07-25,1922-10-18,تأسیس مدرسه فلاحت,Establishment of Falahat school,,,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
