id,title,category
2601,اسنپ‌فود با انتشار بیانیه‌ای هک شدن خود را تایید کرد.,"Technology/Science, Economy"
2602,انفجارهای کرمان,"Politics, Crime/Safety"
2603,انفجار دو بمب در جریان مراسم چهارمین سالگرد کشته‌شدن قاسم سلیمانی در کرمان باعث مرگ دستکم ۹۳ نفر و زخمی شدن ۲۸۰ تن شد. مسئولیت این عملیات را داعش خراسان به عهده گرفت. مقامات و خانواده قاسم سلیمانی در مراسم حضور نداشتند. به‌گفته مقامات ۱۶ بمب قبل از مراسم کشف شده بود و با وجود اطلاع مسئولان مراسم لغو نشد.,"Politics, Crime/Safety"
2604,حادثه دی کوهنوردان سبلان.,"Social, Crime/Safety"
2605,گلریز قهرمان به دلیل اتهام سرقت از فروشگاه‌های گران‌قیمت از حزب سبز پارلمان نیوزیلند استعفا داد,"Politics, Crime/Safety"
2606,آغاز جام ملت‌های آسیا ۲۰۲۳ به میزبانی قطر.,"Sports/Entertainment"
2607,آزادی الهه محمدی و نیلوفر حامدی با قرار وثیقه,"Politics, Social"
2608,رقابت ۲۴ دی تیم ملی فوتبال ایران با تیم ملی فوتبال فلسطین در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2609,حملات موشکی ۲۰۲۴ ایران در عراق و سوریه,"Politics, Crime/Safety"
2610,حمله ایران به پاکستان,"Politics, Crime/Safety"
2611,حملات موشکی سپاه پاسداران به سوریه و اربیل عراق و کشته‌شدن ژینا پیشرو دزه‌ای، نوزاد یک ساله، به همراه خانواده‌اش.,"Politics, Crime/Safety"
2612,درگیری ایران و پاکستان در سال ۲۰۲۴ و کشته شدن ۱۲ شهروند ایرانی فاقد شناسنامه.,"Politics, Crime/Safety"
2613,عملیات مرگ بر سرمچار,"Politics, Crime/Safety"
2614,رقابت ۲۹ دی تیم ملی فوتبال ایران با تیم ملی فوتبال هنگ کنگ در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2615,رقابت ۳ بهمن تیم ملی فوتبال ایران با تیم ملی فوتبال امارات در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2616,آتش‌سوزی بیمارستان گاندی,"Health, Crime/Safety"
2617,آتش‌سوزی بیمارستان گاندی.,"Health, Crime/Safety"
2618,شبکه تلویزیونی من‌وتو با انتشار پستی در صفحه اینستاگرام خود از پایان پخش ماهواره‌ای این شبکه به دلیل وجود مشکل‌هایی در تأمین بودجه خبر داد,"Social, Economy"
2619,رقابت ۱۱ بهمن تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2620,پایان فعالیت پخش ماهواره‌ای شبکه تلویزیونی منوتو,"Social, Economy"
2621,رقابت ۱۴ بهمن تیم ملی فوتبال ایران با تیم ملی فوتبال ژاپن در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2622,رقابت ۱۸ بهمن تیم ملی فوتبال ایران با تیم ملی فوتبال قطر در جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2623,شکست تیم ملی فوتبال ایران از قطر در مرحله نیمه‌نهایی جام ملت‌های آسیا ۲۰۲۳.,"Sports/Entertainment"
2624,مسدود شدن حساب‌های کاربری سید علی خامنه‌ای در اینستاگرام و فیس‌بوک توسط متا پلتفرمز,"Politics, Social"
2625,کلاهبرداری کوروش کمپانی با رقمی حدود ۲ هزار میلیارد تومان رسماً تأیید شد.,"Economy, Crime/Safety"
2626,نصب یک بنر رسمی جهت گزارش شکایت‌های مردم علیه کوروش کمپانی به پلیس پیشگیری فراجا,"Economy, Crime/Safety"
2627,افشای اسناد قوه قضائیه جمهوری اسلامی ایران پس از حمله سایبری گروه عدالت علی.,"Politics, Technology/Science"
2628,برگزاری انتخابات دوازدهمین دوره مجلس شورای اسلامی,"Politics"
2629,برگزاری انتخابات ششمین دوره مجلس خبرگان رهبری,"Politics"
2630,واقعه درمانگاه قرآن و عترت قم,"Social, Politics"
2631,برگزاری انتخابات دوازدهمین دوره مجلس شورای اسلامی و ششمین دوره مجلس خبرگان رهبری,"Politics"
2632,استعفای محمد مصدق کهنموئی از جایگاه معاون اول رئیس قوه قضائیه جمهوری اسلامی ایران,"Politics"
2633,لو رفتن پاداش‌های ۴۰ تا ۵۰ میلیاردی بابت حضور سلبریتی‌ها در صدا و سیما,"Social, Economy"
2634,حمله به تالار کروکوس سیتی در مسکو پایتخت روسیه دستکم ۱۴۳ نفر کشته و ۱۵۰ تن زخمی. گروه تروریستی داعش مسئولیت این حمله را برعهده گرفت.,"Politics, Crime/Safety"
2635,حمله هوایی به کنسولگری ایران در دمشق,"Politics, Crime/Safety"
2636,حمله به کنسولگری ایران در دمشق توسط اسرائیل و کشته شدن چند تن از نیروهای سپاه پاسداران در حمله هوایی اسرائیل.,"Politics, Crime/Safety"
2637,حمله به مقرهای نظامی چابهار، راسک و سرباز,"Politics, Crime/Safety"
2638,حمله به مقرهای نظامی چابهار، راسک و سرباز بلوچستان ایران به صورت تهاجمی، گسترده و بی‌سابقه توسط جیش العدل علیه نیروهای سپاه پاسداران.,"Politics, Crime/Safety"
2639,التهاب و تنش در خاورمیانه پس از تهدید اسرائیل از سوی علی خامنه‌ای خامنه‌ای این‌بار به جای کلمه انتقام سخت از واژه تنبیه سخت استفاده کرد. فرانسه و هند از شهروندان خود خواستند که از سفر به ایران و اسرائیل در پی تشدید تنش‌ها خودداری کنند.,"Politics"
2640,شرکت لوفت‌هانزا، شرکت هواپیمایی اتریش و شرکت هواپیمایی استرالیایی کانتاس در پی تنش در منطقه پس از تهدید اسرائیل توسط خامنه‌ای همه پروازهای خود به ایران را لغو کرد.,"Politics, Economy"
2641,توقیف کشتی ام‌اس‌سی آریس توسط ایران,"Politics, Crime/Safety, Economy"
2642,حمله هوایی ایران به اسرائیل,"Politics, Crime/Safety"
2643,اداره فدرال هوانوردی آلمان به خطوط هوایی هشدار داد امکان سرنگونی در آسمان ایران وجود دارد و اشاره کرد سناریو حمله غیرعمدی با سلاح‌های ضدهوایی از سوی جمهوری اسلامی وجود دارد.,"Politics, Technology/Science"
2644,اجرای عملیات وعده صادق توسط سپاه پاسداران با دستور علی خامنه‌ای و حسین سلامی,"Politics, Crime/Safety"
2645,حمله اسرائیل به ایران,"Politics, Crime/Safety"
2646,درگیری میان هواداران زن پرسپولیس و هواداران مرد سپاهان,"Social, Sports/Entertainment, Crime/Safety"
2647,درگیری میان هواداران زن پرسپولیس و هواداران مرد سپاهان.,"Social, Sports/Entertainment, Crime/Safety"
2648,بازداشت صادق زیباکلام به اتهام نشر مطالب خلاف واقع و فعالیت تبلیغی علیه نظام جمهوری اسلامی ایران,"Politics, Social"
2649,سیل مشهد,"Natural Disaster"
2650,سیل ۱۴۰۳ مشهد,"Natural Disaster"
2651,سانحه سقوط بالگرد در ورزقان,"Politics, Crime/Safety"
2652,سانحه سقوط بالگرد حامل ابراهیم رئیسی و حسین امیرعبداللهیان در جنگلزمار میان ورزقان و جلفا,"Politics, Crime/Safety"
2653,زمین‌لرزه ۱۴۰۳ کاشمر,"Natural Disaster"
2654,رقابت ۱۷ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال هنگ کنگ در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۶ (آسیا) و مرحله مقدماتی جام ملت‌های آسیا ۲۰۲۷,"Sports/Entertainment"
2655,رقابت ۲۲ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال ازبکستان در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۶ آسیا,"Sports/Entertainment"
