date_jalali,date_gregorian,title,title_english,category,persian_wiki_links,english_wiki_links,details,era_persian,era_english
1202-05-06,1823-07-29,امضا شدن نخستین عهدنامه از عهدنامه‌های ارزروم در میان حکومت دودمان قاجار از ایران با امپراتوری عثمانی,Treaties of Erzurum,event,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A7%D8%B1%D8%B2%D8%B1%D9%88%D9%85,https://en.wikipedia.org/wiki/Treaties_of_Erzurum,,قاجار,Qajar
1203-04-04,1824-06-25,زمین‌لرزه شیراز,Shiraz earthquake,event,,,,قاجار,Qajar
1205-04-28,1826-07-19,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),<No English name found>,event,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B1%D9%88%D8%B3%DB%8C%D9%87_(%DB%B1%DB%B8%DB%B2%DB%B8%E2%80%93%DB%B1%DB%B8%DB%B2%DB%B6),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%931828),,قاجار,Qajar
1206-04-21,1827-07-13,آغاز محاصره عباس‌آباد,The beginning of the siege of Abbasabad,event,,,,قاجار,Qajar
1206-04-27,1827-07-19,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,Capture of Abbasabad,event,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D8%B1%D9%81_%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Capture_of_Abbasabad,,قاجار,Qajar
1206-12-01,1828-02-21,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,Treaty of Turkmenchay,event,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86%DA%86%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Treaty_of_Turkmenchay,,قاجار,Qajar
1206-12-02,1828-02-22,پایان جنگ ۱۸۲۶ تا ۱۸۲۸ ایران و روسیه,The end of the war 1 to 2 of Iran and Russia,event,,,,قاجار,Qajar
1207-11-22,1829-02-11,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,Alexander Griboyedov,event,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%A9%D8%B3%D8%A7%D9%86%D8%AF%D8%B1_%DA%AF%D8%B1%DB%8C%D8%A8%D8%A7%DB%8C%D8%AF%D9%88%D9%81,https://en.wikipedia.org/wiki/Alexander_Griboyedov,,قاجار,Qajar
1213-08-02,1834-10-24,فتحعلی‌شاه,Fath-Ali Shah Qajar,death,https://fa.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Fath-Ali_Shah_Qajar,دومین شاه ایران از دودمان قاجار,قاجار,Qajar
1216-02-11,1837-05-01,انتشار کاغذ اخبار نخستین نشریه فارسی‌زبان در تهران,Kaghaz-e Akhbar,event,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%BA%D8%B0_%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Kaghaz-e_Akhbar,,قاجار,Qajar
1223-01-02,1844-03-22,محمدباقر شفتی,Mohammad Bagher Shafti,death,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%B4%D9%81%D8%AA%DB%8C,https://en.wikipedia.org/wiki/Mohammad_Bagher_Shafti,روحانی و فقیه,قاجار,Qajar
1226-03-10,1847-05-31,دومین عهدنامه از عهدنامه‌های ارزروم بین ایران و امپراتوری عثمانی امضا شد.,Ottoman Empire,event,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Ottoman_Empire,,قاجار,Qajar
1227-06-14,1848-09-05,محمدشاه قاجار,Mohammad Shah Qajar,death,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mohammad_Shah_Qajar,سومین پادشاه قاجار,قاجار,Qajar
1227-06-22,1848-09-13,آغاز پادشاهی ناصرالدین‌شاه,The beginning of the kingdom of Nasser al -Din Shah,event,,,,قاجار,Qajar
1227-07-28,1848-10-20,آغاز صدراعظمی امیرکبیر به فرمان ناصرالدین شاه,Naser al-Din Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar,,قاجار,Qajar
1229-03-06,1850-05-27,آغاز شورش بابیان نی‌ریز,Beginning of the Babian Niriz rebellion,event,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar
1229-03-31,1850-06-21,پایان شورش بابیان نی‌ریز,End of Babian Niriz rebellion,event,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar
1229-11-18,1851-02-07,انتشار نخستین شماره از روزنامه وقایع اتفاقیه در ایران. این روزنامه به کوشش امیرکبیر منتشر شد.,Vaqaye-e Ettefaqiyeh,event,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D9%88%D9%82%D8%A7%DB%8C%D8%B9_%D8%A7%D8%AA%D9%81%D8%A7%D9%82%DB%8C%D9%87,https://en.wikipedia.org/wiki/Vaqaye-e_Ettefaqiyeh,,قاجار,Qajar
1230-10-06,1851-12-27,بنیانگذاری دارالفنون نخستین مرکز آموزش عالی نوین ایران به ابتکار میرزاتقی‌خان امیرکبیر,Amir Kabir,event,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,,قاجار,Qajar
1230-10-20,1852-01-10,امیرکبیر,Amir Kabir,death,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,نخستین صدراعظم ایران در زمان پادشاهی ناصرالدین‌شاه,قاجار,Qajar
1231-05-04,1852-07-26,ترور نافرجام ناصرالدین‌شاه,The failed assassination of Nasser al -Din Shah,event,,,,قاجار,Qajar
1234-09-29,1855-12-20,فریدون میرزا,Fereydun Mirza,death,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,https://en.wikipedia.org/wiki/Fereydun_Mirza,از فرزندان عباس میرزا,قاجار,Qajar
1235-11-05,1857-01-25,بنیان‌گذاری سفارت ایران در فرانسه,Founding the Iranian Embassy in France,event,,,,قاجار,Qajar
1235-12-13,1857-03-04,بین ایران و انگلستان معاهده پاریس بسته شد,Treaty of Paris (1857),event,https://fa.wikipedia.org/wiki/%D9%85%D8%B9%D8%A7%D9%87%D8%AF%D9%87_%D9%BE%D8%A7%D8%B1%DB%8C%D8%B3_(%DB%B1%DB%B8%DB%B5%DB%B7),https://en.wikipedia.org/wiki/Treaty_of_Paris_(1857),,قاجار,Qajar
1240-08-02,1861-10-24,اولین خط تلگراف قاره‌پیما، در ایالات متحده آمریکا، با ارسال پیام «به پایان رسید.» تکمیل شد.,United States,event,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7,https://en.wikipedia.org/wiki/United_States,,قاجار,Qajar
1243-12-28,1865-03-18,میرزا آقاخان نوری,Mirza Aqa Khan Nuri,death,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%A2%D9%82%D8%A7%D8%AE%D8%A7%D9%86_%D9%86%D9%88%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Mirza_Aqa_Khan_Nuri,دومین صدراعظم ناصرالدین‌شاه,قاجار,Qajar
1250-04-08,1871-06-29,رضاقلی‌خان هدایت,Reza-Qoli Khan Hedayat,death,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D9%82%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D9%87%D8%AF%D8%A7%DB%8C%D8%AA,https://en.wikipedia.org/wiki/Reza-Qoli_Khan_Hedayat,ادیب، شاعر و تذکره‌نویس,قاجار,Qajar
1251-05-03,1872-07-24,واگذاری امتیاز بهره‌برداری از معادن ایران به رویتر انگلیسی در زمان ناصرالدین شاه,Delivery of Iranian mines to English Reuters at the time of Nasser al -Din Shah,event,,,,قاجار,Qajar
1252-01-30,1873-04-19,آغاز نخستین سفر ناصرالدین‌شاه به اروپا,The beginning of Nasser al -Din Shah's first trip to Europe,event,,,,قاجار,Qajar
1252-11-14,1874-02-03,انتشار شمس‌النهار، نخستین روزنامه در افغانستان و در سلطنت شیرعلی خان.(۱۵ ذی‌الحجه ۱۲۹۰ق).[۱],Sher Ali Khan,event,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%B1%D8%B9%D9%84%DB%8C_%D8%AE%D8%A7%D9%86,https://en.wikipedia.org/wiki/Sher_Ali_Khan,,قاجار,Qajar
1259-01-10,1880-03-29,محمدتقی سپهر,Mohammad Taqi Sepehr,death,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B3%D9%BE%D9%87%D8%B1,https://en.wikipedia.org/wiki/Mohammad_Taqi_Sepehr,شاعر,قاجار,Qajar
1260-06-30,1881-09-21,‌ بین ایران و امپراتوری روسیه پیمان آخال امضا شد,Russian Empire,event,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B1%D9%88%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Russian_Empire,,قاجار,Qajar
1268-01-24,1889-04-13,آغاز سومین سفر ناصرالدین‌شاه به اروپا,The beginning of Nasser al -Din Shah's third trip to Europe,event,,,,قاجار,Qajar
1268-12-29,1890-03-20,امضا شدن قرارداد رژی,Signature of the Regi contract,event,https://fa.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF_%D8%B1%DA%98%DB%8C,<No English page found>,,قاجار,Qajar
1270-05-08,1891-07-30,ترجمه کتاب سیاست نامه خواجه نظام الملک به زبان فرانسوی.,Siyasatnama,event,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D9%86%D8%A7%D9%85%D9%87,https://en.wikipedia.org/wiki/Siyasatnama,,قاجار,Qajar
1271-05-29,1892-08-19,میرزا محمدرضا کلهر,Mirza Mohammad Reza Kalhor,death,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%DA%A9%D9%84%D9%87%D8%B1,https://en.wikipedia.org/wiki/Mirza_Mohammad_Reza_Kalhor,خوشنویس دوره قاجاریه,قاجار,Qajar
1272-04-29,1893-07-20,واگذاری شیلات شمال ایران به استفان لیانازوف، سرمایه دار روسی,Transfer of northern Iranian fisheries to Russian capitalist Stephen Lianazov,event,,,,قاجار,Qajar
1273-12-01,1895-02-20,میرزای شیرازی,Mirza Shirazi,death,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Mirza_Shirazi,صاحب حکم نهضت تنباکو و مرجع تقلید شیعه,قاجار,Qajar
