id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,death
1.0,1202-05-06,1823-07-29,امضا شدن نخستین عهدنامه از عهدنامه‌های ارزروم در میان حکومت دودمان قاجار از ایران با امپراتوری عثمانی,The attack of a group of Ler clans on the city of Nahavand,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A7%D8%B1%D8%B2%D8%B1%D9%88%D9%85,https://en.wikipedia.org/wiki/Treaties_of_Erzurum,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
2.0,1203-04-04,1824-06-25,زمین‌لرزه شیراز,Shiraz earthquake,,,,قاجار,Qajar,0,0,0,1,0,0,0,0,0
3.0,1205-04-28,1826-07-19,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),The beginning of the Iran-Russia war (1826-1828),https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B1%D9%88%D8%B3%DB%8C%D9%87_(%DB%B1%DB%B8%DB%B2%DB%B8%E2%80%93%DB%B1%DB%B8%DB%B2%DB%B6),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%931828),,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4.0,1206-04-21,1827-07-13,آغاز محاصره عباس‌آباد,The beginning of the siege of Abbasabad,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
5.0,1206-04-27,1827-07-19,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,The end of the siege of Abbasabad and the capture of Abbasabad,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D8%B1%D9%81_%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Capture_of_Abbasabad,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
6.0,1206-12-01,1828-02-21,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,The signing of the Treaty of Turkmanchai between the Qajar dynasty of Iran and the Russian Empire,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86%DA%86%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Treaty_of_Turkmenchay,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
7.0,1206-12-02,1828-02-22,پایان جنگ ۱۸۲۶ تا ۱۸۲۸ ایران و روسیه,The end of the 1826-1828 war between Iran and Russia,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
8.0,1207-11-22,1829-02-11,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,The attack on the Russian embassy in Tehran and the murder of the Russian ambassador Alexander Gribaidov,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%A9%D8%B3%D8%A7%D9%86%D8%AF%D8%B1_%DA%AF%D8%B1%DB%8C%D8%A8%D8%A7%DB%8C%D8%AF%D9%88%D9%81,https://en.wikipedia.org/wiki/Alexander_Griboyedov,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
,1213-08-02,1834-10-24,فتحعلی‌شاه,Fath Ali Shah,https://fa.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Fath-Ali_Shah_Qajar,دومین شاه ایران از دودمان قاجار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
9.0,1216-02-11,1837-05-01,انتشار کاغذ اخبار نخستین نشریه فارسی‌زبان در تهران,Publication of the first Farsi-language newspaper in Tehran,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%BA%D8%B0_%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Kaghaz-e_Akhbar,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
