id,date_jalali,date_gregorian,title,title_english,persian_wiki_links,english_wiki_links,details,era_persian,era_english,Crime/Safety,Economy,Health,Natural Disaster,Politics,Social,Sports/Entertainment,Technology/Science,Death
1.0,1202-05-06,1823-07-29,امضا شدن نخستین عهدنامه از عهدنامه‌های ارزروم در میان حکومت دودمان قاجار از ایران با امپراتوری عثمانی,Treaties of Erzurum,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A7%D8%B1%D8%B2%D8%B1%D9%88%D9%85,https://en.wikipedia.org/wiki/Treaties_of_Erzurum,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
2.0,1203-04-04,1824-06-25,زمین‌لرزه شیراز,Shiraz earthquake,,,,قاجار,Qajar,0,0,0,1,0,0,0,0,0
3.0,1205-04-28,1826-07-19,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),<No English name found>,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B1%D9%88%D8%B3%DB%8C%D9%87_(%DB%B1%DB%B8%DB%B2%DB%B8%E2%80%93%DB%B1%DB%B8%DB%B2%DB%B6),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%931828),,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4.0,1206-04-21,1827-07-13,آغاز محاصره عباس‌آباد,The beginning of the siege of Abbasabad,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
5.0,1206-04-27,1827-07-19,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,Capture of Abbasabad,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D8%B1%D9%81_%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Capture_of_Abbasabad,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
6.0,1206-12-01,1828-02-21,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,Treaty of Turkmenchay,https://fa.wikipedia.org/wiki/%D8%B9%D9%87%D8%AF%D9%86%D8%A7%D9%85%D9%87_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86%DA%86%D8%A7%DB%8C,https://en.wikipedia.org/wiki/Treaty_of_Turkmenchay,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
7.0,1206-12-02,1828-02-22,پایان جنگ ۱۸۲۶ تا ۱۸۲۸ ایران و روسیه,The end of the war 1 to 2 of Iran and Russia,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
8.0,1207-11-22,1829-02-11,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,Alexander Griboyedov,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%A9%D8%B3%D8%A7%D9%86%D8%AF%D8%B1_%DA%AF%D8%B1%DB%8C%D8%A8%D8%A7%DB%8C%D8%AF%D9%88%D9%81,https://en.wikipedia.org/wiki/Alexander_Griboyedov,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4914.0,1213-08-02,1834-10-24,فتحعلی‌شاه,Fath-Ali Shah Qajar,https://fa.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Fath-Ali_Shah_Qajar,دومین شاه ایران از دودمان قاجار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
9.0,1216-02-11,1837-05-01,انتشار کاغذ اخبار نخستین نشریه فارسی‌زبان در تهران,Kaghaz-e Akhbar,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%BA%D8%B0_%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Kaghaz-e_Akhbar,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
4916.0,1223-01-02,1844-03-22,محمدباقر شفتی,Mohammad Bagher Shafti,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%B4%D9%81%D8%AA%DB%8C,https://en.wikipedia.org/wiki/Mohammad_Bagher_Shafti,روحانی و فقیه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
10.0,1226-03-10,1847-05-31,دومین عهدنامه از عهدنامه‌های ارزروم بین ایران و امپراتوری عثمانی امضا شد.,Ottoman Empire,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Ottoman_Empire,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
4918.0,1227-06-14,1848-09-05,محمدشاه قاجار,Mohammad Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mohammad_Shah_Qajar,سومین پادشاه قاجار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
11.0,1227-06-22,1848-09-13,آغاز پادشاهی ناصرالدین‌شاه,The beginning of the kingdom of Nasser al -Din Shah,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
12.0,1227-07-28,1848-10-20,آغاز صدراعظمی امیرکبیر به فرمان ناصرالدین شاه,Naser al-Din Shah Qajar,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
13.0,1229-03-06,1850-05-27,آغاز شورش بابیان نی‌ریز,Beginning of the Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
14.0,1229-03-31,1850-06-21,پایان شورش بابیان نی‌ریز,End of Babian Niriz rebellion,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D8%A8%D8%A7%D8%A8%DB%8C%D8%A7%D9%86_%D9%86%DB%8C%E2%80%8C%D8%B1%DB%8C%D8%B2,<No English page found>,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
15.0,1229-11-18,1851-02-07,انتشار نخستین شماره از روزنامه وقایع اتفاقیه در ایران. این روزنامه به کوشش امیرکبیر منتشر شد.,Vaqaye-e Ettefaqiyeh,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D9%88%D9%82%D8%A7%DB%8C%D8%B9_%D8%A7%D8%AA%D9%81%D8%A7%D9%82%DB%8C%D9%87,https://en.wikipedia.org/wiki/Vaqaye-e_Ettefaqiyeh,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
16.0,1230-10-06,1851-12-27,بنیانگذاری دارالفنون نخستین مرکز آموزش عالی نوین ایران به ابتکار میرزاتقی‌خان امیرکبیر,Amir Kabir,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
4925.0,1230-10-20,1852-01-10,امیرکبیر,Amir Kabir,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Amir_Kabir,نخستین صدراعظم ایران در زمان پادشاهی ناصرالدین‌شاه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
17.0,1231-05-04,1852-07-26,ترور نافرجام ناصرالدین‌شاه,The failed assassination of Nasser al -Din Shah,,,,قاجار,Qajar,1,0,0,0,1,0,0,0,0
4927.0,1234-09-29,1855-12-20,فریدون میرزا,Fereydun Mirza,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,https://en.wikipedia.org/wiki/Fereydun_Mirza,از فرزندان عباس میرزا,قاجار,Qajar,0,0,0,0,0,0,0,0,1
18.0,1235-11-05,1857-01-25,بنیان‌گذاری سفارت ایران در فرانسه,Founding the Iranian Embassy in France,,,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
19.0,1235-12-13,1857-03-04,بین ایران و انگلستان معاهده پاریس بسته شد,Treaty of Paris (1857),https://fa.wikipedia.org/wiki/%D9%85%D8%B9%D8%A7%D9%87%D8%AF%D9%87_%D9%BE%D8%A7%D8%B1%DB%8C%D8%B3_(%DB%B1%DB%B8%DB%B5%DB%B7),https://en.wikipedia.org/wiki/Treaty_of_Paris_(1857),,قاجار,Qajar,0,0,0,0,1,0,0,0,0
20.0,1240-08-02,1861-10-24,اولین خط تلگراف قاره‌پیما، در ایالات متحده آمریکا، با ارسال پیام «به پایان رسید.» تکمیل شد.,United States,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7,https://en.wikipedia.org/wiki/United_States,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
4931.0,1243-12-28,1865-03-18,میرزا آقاخان نوری,Mirza Aqa Khan Nuri,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%A2%D9%82%D8%A7%D8%AE%D8%A7%D9%86_%D9%86%D9%88%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Mirza_Aqa_Khan_Nuri,دومین صدراعظم ناصرالدین‌شاه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4932.0,1250-04-08,1871-06-29,رضاقلی‌خان هدایت,Reza-Qoli Khan Hedayat,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D9%82%D9%84%DB%8C%E2%80%8C%D8%AE%D8%A7%D9%86_%D9%87%D8%AF%D8%A7%DB%8C%D8%AA,https://en.wikipedia.org/wiki/Reza-Qoli_Khan_Hedayat,ادیب، شاعر و تذکره‌نویس,قاجار,Qajar,0,0,0,0,0,0,0,0,1
21.0,1251-05-03,1872-07-24,واگذاری امتیاز بهره‌برداری از معادن ایران به رویتر انگلیسی در زمان ناصرالدین شاه,Delivery of Iranian mines to English Reuters at the time of Nasser al -Din Shah,,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
22.0,1252-01-30,1873-04-19,آغاز نخستین سفر ناصرالدین‌شاه به اروپا,The beginning of Nasser al -Din Shah's first trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
23.0,1252-11-14,1874-02-03,انتشار شمس‌النهار، نخستین روزنامه در افغانستان و در سلطنت شیرعلی خان.(۱۵ ذی‌الحجه ۱۲۹۰ق).[۱],Sher Ali Khan,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%B1%D8%B9%D9%84%DB%8C_%D8%AE%D8%A7%D9%86,https://en.wikipedia.org/wiki/Sher_Ali_Khan,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
4936.0,1259-01-10,1880-03-29,محمدتقی سپهر,Mohammad Taqi Sepehr,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B3%D9%BE%D9%87%D8%B1,https://en.wikipedia.org/wiki/Mohammad_Taqi_Sepehr,شاعر,قاجار,Qajar,0,0,0,0,0,0,0,0,1
24.0,1260-06-30,1881-09-21,‌ بین ایران و امپراتوری روسیه پیمان آخال امضا شد,Russian Empire,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B1%D9%88%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Russian_Empire,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
25.0,1268-01-24,1889-04-13,آغاز سومین سفر ناصرالدین‌شاه به اروپا,The beginning of Nasser al -Din Shah's third trip to Europe,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
26.0,1268-12-29,1890-03-20,امضا شدن قرارداد رژی,Signature of the Regi contract,https://fa.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF_%D8%B1%DA%98%DB%8C,<No English page found>,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
27.0,1270-05-08,1891-07-30,ترجمه کتاب سیاست نامه خواجه نظام الملک به زبان فرانسوی.,Siyasatnama,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D9%86%D8%A7%D9%85%D9%87,https://en.wikipedia.org/wiki/Siyasatnama,,قاجار,Qajar,0,0,0,0,0,1,0,0,0
4941.0,1271-05-29,1892-08-19,میرزا محمدرضا کلهر,Mirza Mohammad Reza Kalhor,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%DA%A9%D9%84%D9%87%D8%B1,https://en.wikipedia.org/wiki/Mirza_Mohammad_Reza_Kalhor,خوشنویس دوره قاجاریه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
28.0,1272-04-29,1893-07-20,واگذاری شیلات شمال ایران به استفان لیانازوف، سرمایه دار روسی,Transfer of northern Iranian fisheries to Russian capitalist Stephen Lianazov,,,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
4943.0,1273-12-01,1895-02-20,میرزای شیرازی,Mirza Shirazi,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Mirza_Shirazi,صاحب حکم نهضت تنباکو و مرجع تقلید شیعه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4944.0,1275-01-13,1896-04-01,محمدحسن اعتمادالسلطنه,<No English name found>,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,https://en.wikipedia.org/wiki/Mohammad_Hasan_Khan_E%27temad_os-Saltaneh,نویسنده و سیاستمدار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4945.0,1275-02-12,1896-05-01,ناصرالدین‌شاه,Naser al-Din Shah Qajar,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar,چهارمین شاه ایران از دودمان قاجار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4946.0,1275-04-27,1896-07-17,میرزا آقاخان کرمانی,Mirza Aqa Khan Kermani,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%A2%D9%82%D8%A7%D8%AE%D8%A7%D9%86_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Mirza_Aqa_Khan_Kermani,از طرفداران جنبش مشروطه ایران و نویسنده,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4947.0,1275-04-27,1896-07-17,احمد روحی,Sheikh Ahmad Rouhi,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B1%D9%88%D8%AD%DB%8C,https://en.wikipedia.org/wiki/Sheikh_Ahmad_Rouhi,از طرفداران جنبش مشروطه ایران و شاعر,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4948.0,1275-05-21,1896-08-11,میرزا رضا کرمانی,Mirza Reza Kermani,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%B1%D8%B6%D8%A7_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Mirza_Reza_Kermani,از شاگردان سید جمال‌الدین اسدآبادی و قاتل ناصرالدین شاه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
29.0,1277-07-26,1898-10-18,انتشار روزنامه تندرو مساوات، به مدیریت سید محمدرضا شیرازی، در تهران,"The publication of the hard -line Equal newspaper, managed by Seyyed Mohammad Reza Shirazi, in Tehran",,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
30.0,1279-09-21,1900-12-12,ورود اولین اتومبیل به ایران در زمان مظفرالدین شاه قاجار,Mozaffar ad-Din Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,0,0,0,0,1,0,1,0
31.0,1280-03-07,1901-05-28,امتیازنامه دارسی بین حکومت ایران با ویلیام ناکس دارسی امضا شد,<No English name found>,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D8%AA%DB%8C%D8%A7%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D8%AF%D8%A7%D8%B1%D8%B3%DB%8C,https://en.wikipedia.org/wiki/D%27Arcy_Concession,,قاجار,Qajar,0,1,0,0,1,0,0,0,0
4952.0,1282-08-07,1903-10-30,احترام‌السلطنه,Respect al -Saltanah,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%85%E2%80%8C%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,<No English page found>,شاهزاده قاجار و دختر دوم مظفرالدین‌شاه قاجار,قاجار,Qajar,0,0,0,0,0,0,0,0,1
4953.0,1284-01-05,1905-03-25,محمدحسن ممقانی,Mohammad Hassan Moghani,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D9%85%D9%85%D9%82%D8%A7%D9%86%DB%8C,<No English page found>,فقیه,قاجار,Qajar,0,0,0,0,0,0,0,0,1
32.0,1284-02-03,1905-04-23,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,Mozaffar ad-Din Shah Qajar,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar,0,1,0,0,1,1,0,0,0
33.0,1285-04-24,1906-07-16,مهاجرت علما و مردم تهران به قم و آغاز هجرت کبری در جریان نهضت مشروطه,Migration of Tehran's scholars and people to Qom and the beginning of Kobra Hijra during the Constitutional Movement,,,,قاجار,Qajar,0,0,0,0,1,1,0,0,0
34.0,1285-05-13,1906-08-05,صدور فرمان مشروطیت در ایران، توسط مظفرالدین شاه پنجمین شاه قاجار,Issuance of Constitutional Decree in Iran by Mozaffar al -Din Shah Qajar,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
35.0,1285-05-14,1906-08-06,صدور فرمان مشروطیت.,Issuance of Constitutional Decree.,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar,0,0,0,0,1,0,0,0,0
