id,title,category
1,امضا شدن نخستین عهدنامه از عهدنامه‌های ارزروم در میان حکومت دودمان قاجار از ایران با امپراتوری عثمانی,
2,زمین‌لرزه شیراز,
3,آغاز جنگ ایران و روسیه (۱۸۲۸–۱۸۲۶),
4,آغاز محاصره عباس‌آباد,
5,پایان محاصره عباس‌آباد و تصرف عباس‌آباد,
6,امضا شدن عهدنامه ترکمانچای بین دودمان قاجار از ایران با امپراتوری روسیه,
7,پایان جنگ ۱۸۲۶ تا ۱۸۲۸ ایران و روسیه,
8,حمله به سفارت روسیه در تهران و قتل الکساندر گریبایدوف سفیر روسیه,
9,انتشار کاغذ اخبار نخستین نشریه فارسی‌زبان در تهران,
10,دومین عهدنامه از عهدنامه‌های ارزروم بین ایران و امپراتوری عثمانی امضا شد.,
11,آغاز پادشاهی ناصرالدین‌شاه,
12,آغاز صدراعظمی امیرکبیر به فرمان ناصرالدین شاه,
13,آغاز شورش بابیان نی‌ریز,
14,پایان شورش بابیان نی‌ریز,
15,انتشار نخستین شماره از روزنامه وقایع اتفاقیه در ایران. این روزنامه به کوشش امیرکبیر منتشر شد.,
16,بنیانگذاری دارالفنون نخستین مرکز آموزش عالی نوین ایران به ابتکار میرزاتقی‌خان امیرکبیر,
17,ترور نافرجام ناصرالدین‌شاه,
18,بنیان‌گذاری سفارت ایران در فرانسه,
19,بین ایران و انگلستان معاهده پاریس بسته شد,
20,اولین خط تلگراف قاره‌پیما، در ایالات متحده آمریکا، با ارسال پیام «به پایان رسید.» تکمیل شد.,
21,واگذاری امتیاز بهره‌برداری از معادن ایران به رویتر انگلیسی در زمان ناصرالدین شاه,
22,آغاز نخستین سفر ناصرالدین‌شاه به اروپا,
23,انتشار شمس‌النهار، نخستین روزنامه در افغانستان و در سلطنت شیرعلی خان.(۱۵ ذی‌الحجه ۱۲۹۰ق).[۱],
24,‌ بین ایران و امپراتوری روسیه پیمان آخال امضا شد,
25,آغاز سومین سفر ناصرالدین‌شاه به اروپا,
26,امضا شدن قرارداد رژی,
27,ترجمه کتاب سیاست نامه خواجه نظام الملک به زبان فرانسوی.,
28,واگذاری شیلات شمال ایران به استفان لیانازوف، سرمایه دار روسی,
29,انتشار روزنامه تندرو مساوات، به مدیریت سید محمدرضا شیرازی، در تهران,
30,ورود اولین اتومبیل به ایران در زمان مظفرالدین شاه قاجار,
31,امتیازنامه دارسی بین حکومت ایران با ویلیام ناکس دارسی امضا شد,
32,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,
33,مهاجرت علما و مردم تهران به قم و آغاز هجرت کبری در جریان نهضت مشروطه,
34,صدور فرمان مشروطیت در ایران، توسط مظفرالدین شاه پنجمین شاه قاجار,
35,صدور فرمان مشروطیت.,
36,توشیح نظامنامه انتخابات اصنافی توسط مظفرالدین‌شاه قاجار,
37,برکناری عین‌الدوله از رئیس‌الوزرایی توسط مظفرالدین‌شاه,
38,برگزاری نخستین انتخابات مجلس شورای ملی,
39,رد دریافت وام دو و نیم میلیون تومانی دولت از خارج توسط مجلس شورای ملی با استدلال تضعیف حاکمیت ملی,
40,آغاز انتشار روزنامه مجلس,
41,مظفرالدین‌شاه قانون اساسی مشروطه را امضا کرد,
42,آغاز رسمی سلطنت محمدعلی‌شاه,
43,بنیان‌گذاری شهرداری تهران,
44,تجاوز نظامی عثمانی به ایران با سوءاستفاده از اوضاع کشور در جریان مشروطه.,
45,امضا شدن قرارداد سن پترزبورگ میان امپراتوری روسیه و امپراتوری بریتانیا در مورد ایران,
46,مهدی بازرگان، اولین نخست وزیر ایران پس از انقلاب سال ۵۷,
47,آغاز انتشار روزنامه نسیم شمال,
48,متمم قانون اساسی مشروطه بدست محمدعلی شاه قاجار امضا شد,
49,شکل‌گیری کابینه میرزا ابوالقاسم خان ناصرالملک در زمان محمدعلی شاه قاجار,
50,مجلس جدید التاسیس شورا، بودجه دربار را سیصد هزار تومان کسر و به پانصد هزار تومان کاهش داد و شهریه زنان ناصرالدین شاه را هم حذف کرد، که این عمل، شروع دشمنی محمدعلی شاه قاجار با مجلس بود.,
51,آغاز واقعه میدان توپخانه,
52,تصویب اولین قانون مطبوعات در مجلس شورای ملی,
53,کشف نخستین چاه میدان نفتی مسجد سلیمان,
54,به‌توپ بستن مجلس,
55,آغاز استبداد صغیر,
56,آغاز قیام و محاصره مشروطه‌خواهان تبریز,
57,عزل عبدالمجید میرزا عین الدوله، والی آذربایجان، در پی شکست نیروهای دولتی از مشروطه خواهان تبریز,
58,مخالفت شیخ فضل‌الله نوری با مشروطیت,
59,زمین‌لرزه بروجرد,
60,پایان قیام و محاصره مشروطه‌خواهان تبریز,
61,محمدعلی‌شاه قاجار فرمان عفو عمومی و فرمان مربوط به احیای مشروطیت را صادر کرد و تاریخ برگزاری انتخابات مجلس شورای ملی را تعیین کرد,
62,پایان تحصن روحانیون مشروطه خواه در حرم شاه عبدالعظیم و مردمی که در سفارت عثمانی گرد آمده بودند، از تحصن خارج شدند,
63,سردار اسعد بختیاری با قوایی شامل هزار سوار پیشروی خود را به سوی تهران آغاز کردند. این نیروها با پیوستن به انقلابیون دیگر به زودی دولت استبدادی محمد علی شاه قاجار را ساقط و خود او را به خارج از کشور تبعید کردند.,
64,قوای سردار اسعد بختیاری از اصفهان به قم وارد شدند و با نمایندگان روس و انگلیس برای ایجاد هماهنگی و کسب موافقت در تسخیر تهران ملاقات کردند.,
65,ورود نیروهای مجاهدین بختیاری و گیلکی و فتح تهران در جریان انقلاب مشروطه.,
66,پایان استبداد صغیر و پایان فتح تهران,
67,آغاز سلطنت احمدشاه,
68,اعدام شیخ فضل الله نوری با حکم دادگاه انقلاب مشروطیت به جرم مخالفت با نظام مشروطه.,
69,بازگشایی دوره دوم مجلس شورای ملی,
70,انتخاب عضدالملک به‌عنوان نایب‌السلطنه احمدشاه در زمان دوره دوم مجلس شورای ملی,
71,منصوب شدن شکرالله قوام‌الدوله به‌عنوان نخشت‌وزیر تجارت ایران,
72,چهار نفر از مجاهدین وارد خانه سید عبدالله بهبهانی شدند و او را به ضرب چند گلوله کشتند.,
73,سپهدار تنکابنی به علت اختلاف با بختیاری‌ها از رئیس الوزرائی استعفا داد.,
74,واقعه پارک اتابک.,
75,تصویب رسمی تقویم,
76,صمصام‌السلطنه به مقام وزیر جنگ ایران منصوب شد,
77,سپهدار تنکابنی از رئیس الوزرائی معزول شد و مجلس صمصام السلطنه بختیاری را به رئیس الوزرائی تعیین نمود.,
78,مجلس شورای ملی برای کسی که محمدعلی شاه مخلوع را دستگیر یا سرش را بیاورد، ۱۰۰ هزار تومان جایزه تعیین کرد.,
79,اعزام سپاهیان انگلیسی و هندی به جنوب ایران و تشکیل پلیس جنوب,
80,ارویل رایت موفق شد تا با هواپیمای بدون موتور خود، به مدت ۹ دقیقه و ۴۵ ثانیه در کیل دویل هیل ایالت کارولینای شمالی، در هوا پرواز کند.,
81,آغاز اشغال تبریز توسط روس‌ها,
82,آغاز انتشار روزنامه بخارای شریف,
83,گشایش مجلس سوم شورای ملی,
84,آغاز حمله عثمانی جهت اشغال تبریز در جنگ جهانی اول,
85,پایان حمله عثمانی جهت اشغال تبریز در جنگ جهانی اول,
86,محتشم‌السلطنه وزیر امور خارجه در سفارت روسیه حضور یافت و از واقعه اصفهان و قتل ویس قنسول اظهار تأسف نمود.,
87,تشکیل پلیس جنوب در پی انعقاد قرارداد ۱۹۱۵ میان روسیه و انگلیس,
88,آغاز اعلام رسمی اشغال بوشهر,
89,پایان دوره سوم مجلس شورای ملی,
90,شکست نیروهای مقاومت مردمی به رهبری حیدر لطیفیان، در جریان نبرد رباط‌کریم در طی جنگ جهانی اول توسط ارتش روسیه.,
91,وثوق الدوله نیروی انگلیسی اس.پی.آر را به رسمیت شناخت.,
92,گروهی از مردم تهران در میدان توپخانه اجتماع کردند و بر ضد انگستان و قرارداد سن پترزبورگ شعار دادند,
93,بر اساس مصوبه هیئت وزیران مقررات تشکیل اداره سجل احوال در وزارت کشور تهیه شد,
94,صدور نخستین شناسنامه ایرانی که آن زمان با نام سجل شناخته شده بود‌ برای دختری به نام فاطمه,
95,با حملهٔ قزاق‌ها به پایگاه‌های میرزا کوچک خان جنگلی، گروهی از جنگلی‌ها تسلیم شدند و گروهی نیز به جنگل‌های فومن پناه بردند.,
96,حدود دو سال پس از پیروزی انقلاب اکتبر، دولت شوروی (با تسلیم یادداشتی به دولت ایران) اصول سیاست خود در قبال ایران را تشریح کرد، لغو امتیازات، کاپیتولاسیون، بخشیدن بدهی ایران، تحویل راه‌ها و خطوط آهن و بنادر از موارد مهم آن بود که دو سال بعد در قرارداد ۱۹۲۱ قید شد,
97,وثوق الدوله اعلامیه‌ای انتشار داد.,
98,امضا شدن قرارداد ۱۹۱۹ بین ایران و امپراتوری بریتانیا,
99,قطع کمک‌های غیرنقدی، ایالات متحده آمریکا به ایران، در پی امضای قرارداد ۱۹۱۹، میان ایران و انگلستان,
100,آغاز قیام خیابانی,
101,قیام شیخ محمد خیابانی در آذربایجان,
102,تصرف شهربانی تبریز به دست پیروان محمد خیابانی,
103,تشکیل جمهوری شورایی سوسیالیستی ایران,
104,اعلام حکومت جمهوری در گیلان توسط میرزا کوچک خان جنگلی,
105,استعفای حسن وثوق‌الدوله، رئیس‌الوزرای وقت ایران,
106,شهر رشت که در تصرف و اشغال روس‌ها بود در اثر حمله قوای قزاق تصرف گردید و قوای دولتی وارد رشت شد.,
107,جنگ‌های خیابانی بین قوای قزاق و طرفداران شیخ محمد خیابانی آغاز شد.,
108,استعفای مشیرالدوله نخست‌وزیر احمدشاه,
109,کودتای ۳ اسفند,
110,امضا شدن قرارداد ۱۹۲۱ ایران و شوروی.,
111,بلدیهٔ تهران با تشکیلات جدید شروع به کار کرد و سیدضیاءالدین طباطبایی نخست‌وزیر وقت، گاسپار ایپگیان را به ریاست آن گمارد.,
112,دستگیری قوام‌السلطنه والی خراسان توسط کلنل محمدتقی خان پسیان فرمانده ژاندارمری خراسان به فرمان سید ضیاءالدین طباطبایی رئیس دولت جدید و ارسال او به تهران. تشکیل جمهوری خودمختار خراسان ایران توسط پسیان. قوام را به زندان عشرت‌آباد فرستادند.,
113,سید ضیاءالدین طباطبایی، کلنل پسیان را به سمت والی نظامی خراسان گمارد.,
114,بریتانیا امارت فرااردن را از بخشی از مناطقی که در خاورمیانه در شرق رود اردن در قیمومت داشت ایجاد کرد. عبدالله بن حسین بن علی هاشمی شاه حجاز به عنوان حاکم این امارت که امروزه پادشاهی اردن خوانده می‌شود، تعیین گردید.,
115,سید ضیاءالدین طباطبایی وزرای کابینهٔ جدید خود را تعیین و به احمدشاه قاجار معرفی کرد. در این کابینه: رضاخان سردار سپه وزیر جنگ، معززالدوله وزیر امور خارجه، مدیرالملک جم وزیر مالیه، میرزا تقی مشیر معظم خواجوی وزیر پست و تلگراف، رضاقلی هدایت نیرالملک وزیر معارف، علی‌اصغر مؤدب‌الدوله نفیسی وزیر صحیه و امور خیریه شدند و رئیس‌الوزرا شخصاً سرپرستی وزارت داخله را به عهده گرفت.,
116,آغاز خروج نیروهای انگلیسی شامل ۱۱٬۶۰۰ سرباز انگلیسی و هندی به فرماندهی ژنرال ادموند آیرونساید از ایران,
117,کابینهٔ سیدضیاءالدین طباطبایی پس از ۳ ماه سقوط کرد و احمد قوام‌السلطنه که هنوز در زندان بود مأمور تشکیل کابینه شد. اکثر این وزرا جزو محبوسین دورهٔ رئیس‌الوزرایی طباطبایی بودند. در این کابینه رضاخان سردار سپه وزیر جنگ، محتشم‌السلطنه وزیر امور خارجه، مصدق‌السلطنه وزیر مالیه، عمیدالسلطنه وزیر عدلیه، ممتازالدوله وزیر معارف و اوقاف و صنایع مستظرفه، میرزا حسینخان سمیعی ادیب‌السلطنه وزیر تجارت و فوائد عامه، حکیم‌الدوله وزیر صحیه، مشارالسلطنه وزیر پست و تلگراف و مستشارالدوله وزیر مشاور شدند و رئیس‌الوزرا سرپرستی وزارت داخله را به عهده گرفت.,
118,احمدشاه در تلگرافی به کلنل پسیان او را در سمت فرماندهی قوای نظامی خراسان ابقا کرد اما از دخالت در امور حکومتی منع نمود.,
119,وینستون چرچیل وزیر مستعمرات بریتانیا با ارائهٔ طرح‌هایی به پارلمان این کشور از ایجاد کشوری مستقل در میانرودان به نام «عراق» و همچنین ایجاد یک کشور صهیونیستی در فلسطین خبر داد.,
