year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,link,link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports,type,details,details_english,era_persian,era_english,date_gregorian,date
-544,05,08,بلاش یکم,,622,07,30,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D8%A7%D8%B4_%DB%8C%DA%A9%D9%85,https://en.wikipedia.org/wiki/Vologases_I_of_Parthia,Vologases I of Parthia,,,,,,,death,شاهنشاه اشکانی.,Parthian king.,ساسانییان,Sasanian,,"مرداد 08, -544"
-529,12,14,کوروش بزرگ,,623,03,05,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Cyrus_the_Great,Cyrus the Great,,,,,,,death,شاه بزرگ ایران,The Great King of Iran,ساسانییان,Sasanian,,"اسفند 14, -529"
6,09,20,نبرد نینوا,[],627,12,12,,,Nineveh's battle,1.0,,,,,,event,,,ساسانییان,Sasanian,,"آذر 20, 6"
13,02,23,نبرد ۶۳۴ بابل,[],634,05,13,,,Battle; Babylon,1.0,,,,,,event,,,ساسانییان,Sasanian,,"اردیبهشت 23, 13"
15,08,25,آغاز نبرد قادسیه.,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]",636,11,16,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Battle_of_al-Qadisiyyah,Battle of al-Qadisiyyah,1.0,,,,,,event,,,ساسانییان,Sasanian,,"آبان 25, 15"
15,08,28,پایان نبرد قادسیه,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]",636,11,19,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Battle_of_al-Qadisiyyah,Battle of al-Qadisiyyah,1.0,,,,,,event,,,ساسانییان,Sasanian,,"آبان 28, 15"
15,08,28,رستم فرخ‌هرمز,,636,11,19,https://fa.wikipedia.org/wiki/%D8%B1%D8%B3%D8%AA%D9%85_%D9%81%D8%B1%D8%AE%E2%80%8C%D9%87%D8%B1%D9%85%D8%B2,https://en.wikipedia.org/wiki/Rostam_Farrokhzad,Rostam Farrokhzad,,,,,,,death,اسپهبد آذربادگان و پارت در زمان شاهی یزدگرد سوم,Azarbad and Parthian Spah in the time of Yazdgerd III,ساسانییان,Sasanian,,"آبان 28, 15"
20,11,25,نبرد نهاوند,"[{'text': 'نبرد نهاوند', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%86%D9%87%D8%A7%D9%88%D9%86%D8%AF'}]",642,02,14,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%86%D9%87%D8%A7%D9%88%D9%86%D8%AF,https://en.wikipedia.org/wiki/Battle_of_Nahavand,Battle of Nahavand,1.0,,,,,,event,,,ساسانییان,Sasanian,,"بهمن 25, 20"
52,12,06,حملهٔ ابرهه به کعبه,[],674,02,25,,,Abrahama attack on the Kaaba,,,,,,,event,,,دوران اسلامی,Islamic Era,,"اسفند 06, 52"
59,07,20,نبرد کربلا در روز عاشورا و کشته شدن حسین بن علی و یارانش به دست یزید بن معاویه,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'نبرد کربلا', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7'}]",680,10,11,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7,https://en.wikipedia.org/wiki/Battle_of_Karbala,Battle of Karbala,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 20, 59"
124,05,09,ورود ابومسلم به خراسان و آغاز فرمانروایی او در این سرزمین.,"[{'text': 'خراسان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86'}]",745,07,31,,,Abu Muslim's arrival in Khorasan and the beginning of his reign in this land.,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مرداد 09, 124"
220,03,10,اعدام بابک خرمدین,"[{'text': 'بابک خرمدین', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8%DA%A9_%D8%AE%D8%B1%D9%85%D8%AF%DB%8C%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",841,05,30,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8%DA%A9_%D8%AE%D8%B1%D9%85%D8%AF%DB%8C%D9%86,https://en.wikipedia.org/wiki/Babak_Khorramdin,Babak Khorramdin,,,,,,,event,,,دوران اسلامی,Islamic Era,,"خرداد 10, 220"
222,07,29,یزدگرد اول، پادشاه ساسانی اعلام کرد که در مناسباتش با دولت روم، مذاکره و صلح را به جنگ ترجیح می‌دهد.,"[{'text': 'جنگ', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF'}, {'text': 'ساسانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'صلح', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D9%84%D8%AD'}, {'text': 'مذاکره', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D9%87'}, {'text': 'پادشاه', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%D8%B4%D8%A7%D9%87'}, {'text': 'یزدگرد اول', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%B2%D8%AF%DA%AF%D8%B1%D8%AF_%DB%8C%DA%A9%D9%85'}]",843,10,21,https://fa.wikipedia.org/wiki/%DB%8C%D8%B2%D8%AF%DA%AF%D8%B1%D8%AF_%DB%8C%DA%A9%D9%85,https://en.wikipedia.org/wiki/Yazdegerd_I,Yazdegerd I,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 29, 222"
224,02,04,نبرد هرمزدگان بین ساسانیان و اشکانیان که منجر به پیروزی ساسانیان و کشته شدن اردوان پنجم شد,"[{'text': 'اردوان پنجم', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85'}, {'text': 'اشکانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%A7%D8%B4%DA%A9%D8%A7%D9%86%DB%8C'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'ساسانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'نبرد هرمزدگان', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%87%D8%B1%D9%85%D8%B2%D8%AF%DA%AF%D8%A7%D9%86'}]",845,04,23,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85,https://en.wikipedia.org/wiki/Artabanus_IV_of_Parthia,Artabanus IV of Parthia,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"اردیبهشت 04, 224"
235,10,02,زمین‌لرزه دامغان,[],856,12,22,,,Damghan earthquake,,,,,,,event,,,دوران اسلامی,Islamic Era,,"دی 02, 235"
243,08,14,بنیان نهادن سلسلهٔ علویان طبرستان توسط داعی کبیر در آمل.,"[{'text': 'آمل', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%85%D9%84'}, {'text': 'داعی کبیر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1'}, {'text': 'علویان طبرستان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%88%DB%8C%D8%A7%D9%86_%D8%B7%D8%A8%D8%B1%D8%B3%D8%AA%D8%A7%D9%86'}]",864,11,04,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Hasan_ibn_Zayd,Hasan ibn Zayd,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"آبان 14, 243"
272,01,08,زمین‌لرزه اردبیل,[],893,03,27,,,Ardebil earthquake,,,,,,,event,,,دوران اسلامی,Islamic Era,,"فروردین 08, 272"
280,05,15,درگذشت عمرو لیث صفار برادر و جانشین یعقوب در زندان خلیفه عباسی بر اثر گرسنگی.,[],901,08,06,,,The death of Amr Laith Saffar's brother and successor Jacob in Khalifa Abbas Prison in Hunger.,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مرداد 15, 280"
330,10,30,نبرد دربند پارس و دفاع سردار ایرانی آریوبرزن در برابر یورش اسکندر مقدونی.,"[{'text': 'آریوبرزن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%DB%8C%D9%88%D8%A8%D8%B1%D8%B2%D9%86'}, {'text': 'اسکندر مقدونی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C'}, {'text': 'نبرد دربند پارس', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D8%B1%D8%A8%D9%86%D8%AF_%D9%BE%D8%A7%D8%B1%D8%B3'}]",952,01,20,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C,https://en.wikipedia.org/wiki/Alexander_the_Great,Alexander the Great,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"دی 30, 330"
