years,title,links,day,month
1.0,سرآغاز گاه‌شماری هجری خورشیدی,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'گاه\u200cشماری', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D9%87%E2%80%8C%D8%B4%D9%85%D8%A7%D8%B1%DB%8C'}, {'text': 'گاه\u200cشماری هجری خورشیدی', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D9%87%E2%80%8C%D8%B4%D9%85%D8%A7%D8%B1%DB%8C_%D9%87%D8%AC%D8%B1%DB%8C_%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C'}]",1,1
1175.0,تاج‌گذاری رسمی آقامحمدخان قاجار,"[{'text': 'آقامحمدخان قاجار', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%82%D8%A7%D9%85%D8%AD%D9%85%D8%AF%D8%AE%D8%A7%D9%86_%D9%82%D8%A7%D8%AC%D8%A7%D8%B1'}]",1,1
1310.0,بنیان‌گذاری روزنامه آلیک,"[{'text': 'آلیک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%84%DB%8C%DA%A9'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",1,1
1314.0,رضاشاه از دولت‌های خارجی خواست تا در مکاتبات رسمی از عبارت ایران که توسط خود ایرانیان از گذشته استفاده می‌شده، برای کشور استفاده کنند,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]",1,1
1397.0,طوفان گلستان,[],1,1
1400.0,آغاز اعتصاب غذای گسترده زندانیان سیاسی,"[{'text': 'اعتصاب غذای گسترده زندانیان سیاسی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D8%A8_%D8%BA%D8%B0%D8%A7%DB%8C_%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%87_%D8%B2%D9%86%D8%AF%D8%A7%D9%86%DB%8C%D8%A7%D9%86_%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C'}]",1,1
1300.0,بلدیه تهران با تشکیلات جدید آغاز به کار کرد و ضیاءالدین طباطبایی گاسپار ایپگیان را به مقام رئیس بلدیه تهران و مأمور اداره تشکیلات جدید بلدیه منصوب کرد,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'گاسپار ایپگیان', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D8%B3%D9%BE%D8%A7%D8%B1_%D8%A7%DB%8C%D9%BE%DA%AF%DB%8C%D8%A7%D9%86'}]",2,1
1342.0,حمله ماموران پهلوی به مدرسه فیضیه قم,"[{'text': 'مدرسه فیضیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D8%B1%D8%B3%D9%87_%D9%81%DB%8C%D8%B6%DB%8C%D9%87'}]",2,1
1361.0,آغاز عملیات فتح‌المبین,"[{'text': 'عملیات فتح\u200cالمبین', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%81%D8%AA%D8%AD%E2%80%8C%D8%A7%D9%84%D9%85%D8%A8%DB%8C%D9%86'}]",2,1
1400.0,اعلامیه محمدرضا جوادی یگانه در مورد ممنوع شدن استفاده از نماد حاجی فیروز در کارناوال‌ها و دیگر مراسم‌ها,"[{'text': 'حاجی فیروز', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%DB%8C_%D9%81%DB%8C%D8%B1%D9%88%D8%B2'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",2,1
