day,month,person,details,person_links,year
9.0,7.0,کلنل محمدتقی پسیان فرمانده ژاندارمری خراسان (زادهٔ ۱۲۷۰),,"[{'text': 'محمدتقی پسیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D9%BE%D8%B3%DB%8C%D8%A7%D9%86'}, {'text': 'کلنل محمدتقی پسیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D9%BE%D8%B3%DB%8C%D8%A7%D9%86'}]",1300
5.0,8.0,حیدرخان عمواوغلی,انقلابی ایرانی و از فعالان مؤثر جنبش مشروطه ایران و از رهبران حزب کمونیست ایران (زادهٔ ۱۲۵۹),"[{'text': 'حیدرخان عمواوغلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%AF%D8%B1%D8%AE%D8%A7%D9%86_%D8%B9%D9%85%D9%88%D8%A7%D9%88%D8%BA%D9%84%DB%8C'}]",1300
7.0,9.0,عباس افندی عبدالبها,در حیفا، سومین شخصیت محوری آیین بهایی (زادهٔ ۱۲۲۳),[],1300
11.0,9.0,میرزا کوچک خان جنگلی رهبر جنبش جنگل (زادهٔ ۱۲۵۹),,"[{'text': 'جنبش جنگل', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%D8%A8%D8%B4_%D8%AC%D9%86%DA%AF%D9%84'}, {'text': 'میرزا کوچک خان جنگلی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%DA%A9%D9%88%DA%86%DA%A9_%D8%AE%D8%A7%D9%86_%D8%AC%D9%86%DA%AF%D9%84%DB%8C'}]",1300
7.0,4.0,حبیب‌الله خان میکده,افسر جزء ژاندارمری و پسر سلیمان خان میکده,[],1301
14.0,3.0,سید حسین کزازی,نمایندۀ کرمانشاه در مجلس شورای ملی و رئیس ادارۀ معارف کرمانشاه (زادهٔ ۱۲۵۳),"[{'text': 'سید حسین کزازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C'}]",1302
7.0,6.0,احمد دریابیگی,نخستین فرماندهٔ نیروی دریایی مدرن ایران در خلیج فارس,"[{'text': 'احمد دریابیگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C'}]",1302
23.0,8.0,محمدیعقوب خان,پادشاه افغانستان (زاده ۱۲۲۸),"[{'text': 'محمدیعقوب خان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86'}]",1302
16.0,1.0,محمدعلی شاه,ششمین شاه قاجار (زاده ۱۲۵۱),"[{'text': 'محمدعلی شاه', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87'}]",1304
22.0,12.0,ایرج میرزا,شاعر ایرانی (زاده ۱۲۵۱),"[{'text': 'ایرج میرزا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7'}]",1304
6.0,3.0,ادیب نیشابوری,شاعر ایرانی (زاده ۱۲۴۳),"[{'text': 'ادیب نیشابوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1305
