year,month,day,title,link,category
1300,7.0,91270.0,۹ مهر–کلنل محمدتقی پسیانفرمانده ژاندارمری خراسان (زادهٔ۱۲۷۰),https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%86%D9%84_%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D9%BE%D8%B3%DB%8C%D8%A7%D9%86,Death
1300,8.0,5.0,۵ آبان–حیدرخان عمواوغلی، انقلابی ایرانی و از فعالان مؤثر جنبش مشروطه ایران و از رهبرانحزب کمونیست ایران(زادهٔ ۱۲۵۹),https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%AF%D8%B1%D8%AE%D8%A7%D9%86_%D8%B9%D9%85%D9%88%D8%A7%D9%88%D8%BA%D9%84%DB%8C,Death
1300,9.0,7.0,۷ آذر–عباس افندیعبدالبها، در حیفا، سومین شخصیت محوری آیین بهایی (زادهٔ ۱۲۲۳),https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%A8%D9%87%D8%A7%D8%A1,Death
1300,9.0,111259.0,۱۱ آذر–میرزا کوچک خان جنگلیرهبرجنبش جنگل(زادهٔ۱۲۵۹),https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%DA%A9%D9%88%DA%86%DA%A9_%D8%AE%D8%A7%D9%86_%D8%AC%D9%86%DA%AF%D9%84%DB%8C,Death
1300,,,عبدالحسین صنیع همایون، نقاش و تذهیب کار دوره قاجار (زادهٔ۱۲۳۸),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B3%DB%B8_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1300,,,میرزا نصرالله بهار شروانی، شاعر آذربایجانی (زادهٔ۱۲۴۷),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B4%DB%B7_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1300,,,خالو قربان هرسینی، از مبارزان جنبش جنگل (زادهٔ۱۲۵۵),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B5%DB%B5_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1300,,,بی بی خانم استرآبادینویسندهٔ دورهٔمشروطهو نخستین زن طنزنویس ایرانی,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%D8%A8%D8%B4_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Death
1301,4.0,7.0,۷ تیر–حبیب الله خان میکده، افسر جزء ژاندارمری و پسرسلیمان خان میکده,https://fa.wikipedia.org/w/index.php?title=%D8%AD%D8%A8%DB%8C%D8%A8%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D8%A7%D9%86_%D9%85%DB%8C%DA%A9%D8%AF%D9%87&action=edit&redlink=1,Death
1301,,,میرزا ابراهیم خان صحاف باشی، از پیشگامان عکاسی و فیلمبرداری در ایران (زاده۱۲۳۴),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B3%DB%B4_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1301,,,زایر خضرخان اهرمی، از همرزمان رئیسعلی دلواری در مبارزه با انگلیسی ها (زاده۱۲۴۱),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B4%DB%B1_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1301,,,اسماعیل نوبری، از مبارزین مشروطه و نماینده دور دوم مجلس شورای ملی (زاده۱۲۵۲),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B5%DB%B2_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1302,3.0,14.0,۱۴ خرداد–سید حسین کزازی، نمایندۀ کرمانشاه در مجلس شورای ملی و رئیس ادارۀ معارف کرمانشاه (زادهٔ۱۲۵۳),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%B2%D8%A7%D8%B2%DB%8C,Death
1302,6.0,7.0,۷ شهریور–احمد دریابیگی، نخستین فرماندهٔ نیروی دریایی مدرن ایران در خلیج فارس,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C,Death
1302,8.0,23.0,۲۳ آبان–محمدیعقوب خان، پادشاه افغانستان (زاده۱۲۲۸),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%DB%8C%D8%B9%D9%82%D9%88%D8%A8_%D8%AE%D8%A7%D9%86,Death
1302,,,اسفند–سلطان محمد خان سردار اشجع، از رؤسای ایل بختیاری در دوران مشروطه (زاده۱۲۴۱),https://fa.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D8%A7%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AE%D8%A7%D9%86_%D8%B3%D8%B1%D8%AF%D8%A7%D8%B1_%D8%A7%D8%B4%D8%AC%D8%B9,Death
1302,,,محمد اقبال الدوله، از حاکمان کرمانشاه (زادهٔ۱۲۲۷),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B2%DB%B7_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1302,,,اسماعیل خان معاضدالملکاز بنیانگذاران آموزش و پرورش نوین در کرمانشاه و نماینده کرمانشاه در دورهٔ دوم مجلس شورای ملی (زادهٔ۱۲۵۳),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B5%DB%B3_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1303,,,تیر -محترم اسکندری، روزنامه نگار و فعال حقوق زنان (زاده۱۲۷۴),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B7%DB%B4_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1303,,,تیر - ترورمیرزاده عشقی، شاعر، روزنامه نگار، نویسنده و نمایشنامه نویس (زاده۱۲۷۳),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B7%DB%B3_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1304,1.0,16.0,۱۶ فروردین-محمدعلی شاه، ششمین شاه قاجار (زاده۱۲۵۱),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%B4%D8%A7%D9%87,Death
1304,,,تیر-محترم اسکندری، روزنامه نگار و فعال حقوق زنان (زاده۱۲۷۴),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D8%AA%D8%B1%D9%85_%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1%DB%8C,Death
1304,,,آذر-حسن مقدم، نمایش نامه نویس ایرانی (زاده۱۲۷۶),https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D9%82%D8%AF%D9%85,Death
1304,12.0,22.0,۲۲ اسفند-ایرج میرزا، شاعر ایرانی (زاده۱۲۵۱),https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%AC_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7,Death
1304,,,حاجی سیاح، جهانگرد و فعال سیاسی ایرانی (زاده۱۲۱۵),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B1%DB%B5_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1304,,,عبدالله بیگ، شاعر کرد ایرانی (زاده۱۲۷۷),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B7%DB%B7_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1304,,,سید محمدرضا مساوات شیرازی، روزنامه نگار و سیاستمدار عصر مشروطه (زاده۱۲۴۴),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B4%DB%B4_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1304,,,نایب اسدالله، موسیقی دان و نوازنده ایرانی (زاده۱۲۳۱),https://fa.wikipedia.org/wiki/%DB%B1%DB%B2%DB%B3%DB%B1_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Death
1305,3.0,6.0,۶ خرداد-ادیب نیشابوری، شاعر ایرانی (زاده۱۲۴۳),https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%DB%8C%D8%A8_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1%DB%8C,Death
1306,8.0,10.0,۱۰ آبان-عبدالمجید عین الدوله، صدراعظم مظفرالدین شاه (زاده۱۲۲۴),https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,Death
