year,month,day,title,link,category
1301,1.0,1,– تشکیلامنیهدر ایران به ریاستعلی خان سردار رفعتبا ادغام دو نیروی قزاق و ژاندارمری برای محافظت از راه های کشور. امنیه تحت نظر وزارت جنگ قرار گرفت.,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%86%DB%8C%D9%87,Event
1301,1.0,1,– انحلال بعضی دوایروزارت عدلیهو اتمام خدمت 90 قاضی به دستورعبدالحسین تیمورتاشوزیر عدلیه، به دلیل کسر بودجه,https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA_%D8%AF%D8%A7%D8%AF%DA%AF%D8%B3%D8%AA%D8%B1%DB%8C,Event
1301,1.0,1,– انحلالگارد شهریاز زیرمجموعه هایاداره نظمیهایران به دلیل کسر بودجه,https://fa.wikipedia.org/w/index.php?title=%DA%AF%D8%A7%D8%B1%D8%AF_%D8%B4%D9%87%D8%B1%DB%8C&action=edit&redlink=1,Event
1301,1.0,1,اعلام شد: 2802 مرد و 1916 زن و در مجموع 4718 نفر.,https://fa.wikipedia.org/wiki/%DB%B1%DB%B3%DB%B0%DB%B0_(%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C),Event
1301,1.0,1,هطهران آمار کشتار دام تهران در سال 1300 را اعلام کرد: 145٬964 رأس گوسفند، 98٬586 رأس بز، 159 رأس بره، 3٬777 رأس گاو، 544 رأس گوساله، 15 نفر شتر در مجموع 249٬055 رأس و معادل 1٬955٬733 من گوشت,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D8%AF%DB%8C%D9%87,Event
1301,1.0,1,– آمار تولید و مصرف نان در سال 1300: 249 نانوایی، 9٬815٬897 من آرد مصرف کرده و 14٬291٬675 من نان تولید کردند. 90٪ از نان مصرفی تهرانی ها را سنگک و لواش تشکیل می داده است.,#cite_note-Asnad-5,Event
1301,1.0,4,داراحمدشاه قاجاربا رئیس جمهور فرانسه در پاریس,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87_%D9%82%D8%A7%D8%AC%D8%A7%D8%B1,Event
1301,1.0,6,– پرچمافغانستاندر کنسولگری این کشور درمشهدبالا رفت.,https://fa.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86,Event
1301,1.0,6,–روزنامه اقدامدر سرمقالهٔ خود ایرانیان را تشویق به حمایت از فلسطین در برابر ظلم انگلستان و یهود کرد.,https://fa.wikipedia.org/wiki/%D8%A7%D9%82%D8%AF%D8%A7%D9%85_(%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87),Event
1301,1.0,8,نی و تعالیم اخلاقی به افراد قشون مشارکت کنند.,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%AE%D8%A7%D9%86,Event
1301,1.0,8,– مخالفت روحانیون کاشان و اصفهان باقانون جزای عرفی,https://fa.wikipedia.org/w/index.php?title=%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%AC%D8%B2%D8%A7%DB%8C_%D8%B9%D8%B1%D9%81%DB%8C&action=edit&redlink=1,Event
1301,1.0,9,– به رسمیت شناختن استقلالمصرتوسط دولت ایران,https://fa.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1,Event
1301,1.0,10,– تأسیساداره کل طرق و شوارع,https://fa.wikipedia.org/w/index.php?title=%D8%A7%D8%AF%D8%A7%D8%B1%D9%87_%DA%A9%D9%84_%D8%B7%D8%B1%D9%82_%D9%88_%D8%B4%D9%88%D8%A7%D8%B1%D8%B9&action=edit&redlink=1,Event
1301,1.0,11,شرکت نفت ایران و انگلیس,https://fa.wikipedia.org/wiki/%D8%B4%D8%B1%DA%A9%D8%AA_%D9%86%D9%81%D8%AA_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3,Event
1301,1.0,12,: تأسیس سکونتگاه کشاورزیگیواتائیمتوسط 22 نفر از دومین گروه مهاجران صهیونیستعلیادر فلسطین. امروزه گیواتائیم بخشی ازتل آویواست. در همین روز سکونگاه مشابهی به نام احوزا A - نیویورک که امروزه با نام شهررعانانامشهور است، توسط شرکتی به همین نام تشکیل شد.,https://fa.wikipedia.org/wiki/%DA%AF%DB%8C%D9%88%D8%A7%D8%AA%D8%A7%D8%A6%DB%8C%D9%85,Event
1301,1.0,14,– انتخاب هیئت رئیسهمجلس شورای ملی,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,Event
1301,1.0,13,– ملاقات میان چند تن ازخوانین کشکولیبا ژنرال کنسول انگلستان بدون اطلاع دولت. گمانه ها حاکی از آن بود که این ملاقات در خصوص عقد یک قرارداد میانشرکت نفت ایران و انگلیسبا خوانین مذکور برای کشف و استخراج نفت بوده است.,https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%DB%8C%D9%81%D9%87_%DA%A9%D8%B4%DA%A9%D9%88%D9%84%DB%8C_%D8%A8%D8%B2%D8%B1%DA%AF,Event
1301,1.0,18,– اعتراضآژان هایتبریز به تعویق حقوقشان که منجر به دستگیری ایشان شد.,https://fa.wikipedia.org/wiki/%D8%A2%DA%98%D8%A7%D9%86,Event
1301,1.0,19,– آصف السلطنه از طرفاعتضادالسلطنهنایب السلطنه ومعاون الدولهرئیس تشریفات وزارت امور خارجه از طرف هیئت دولت به سفارت آمریکا در تهران رفته و به وزیر مختار تازه وارد تبریک گفتند. وزیر مختار طبق عرف خودش باید ابتدا به دربار می رفت.,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B6%D8%A7%D8%AF%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,Event
1301,1.0,19,دن قوای دولتی تسلیم شدند.,https://fa.wikipedia.org/wiki/%D8%A8%D9%88%DB%8C%D8%B1%D8%A7%D8%AD%D9%85%D8%AF%DB%8C%E2%80%8C%D9%87%D8%A7,Event
1301,1.0,20,–وزارت معارفآمار دانش آموزان و مدارس را در سال 1300 اعلام کرد: 440 باب دبستان دولتی با 43٬000 دانش آموز، 46 باب دبیرستان دولتی با 9300 دانش آموز,https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA_%D9%85%D8%B9%D8%A7%D8%B1%D9%81,Event
1301,1.0,21,– اعتصاب کارکنان وزارت داخله به دلیل عقب افتادگی شش ماهه حقوق,#cite_note-18,Event
1301,1.0,23,– بسته شدن سفارت خانه های ایران در اسپانیا، سوئد، لاهه، بالکان و وینه به دلیل کسر بودجه,#cite_note-19,Event
1301,1.0,24,دار رضاخان وزیر جنگ باسر پرسی لورنوزیر مختار انگلیس,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D8%B3%DB%8C_%D9%84%D9%88%D8%B1%D9%86,Event
1301,1.0,26,دست از کار کشیدند.,https://fa.wikipedia.org/wiki/%D8%B4%D8%B1%DA%A9%D8%AA_%D9%86%D9%81%D8%AA_%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3_%D9%88_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
1301,1.0,27,– اجتماع گروهی از بازاریان تهران در خانهرضاخان، وزیر جنگ و تشکر از اقدامات وی در برقراری امنیت,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%AE%D8%A7%D9%86,Event
1301,1.0,27,سه از عایدات به ایشان بپردازد.,#cite_note-23,Event
1301,1.0,29,گران در مجلس در اعتراض به خودکامگی رضاخان وزیر جنگ و درخواست برای برکناری وی,#cite_note-24,Event
1301,1.0,30,–قراسوران هایاسترآبادبه دلیل عدم دریافت حقوق درتلگراف خانه یاین شهر تحصن کردند.,https://fa.wikipedia.org/w/index.php?title=%D9%82%D8%B1%D8%A7%D8%B3%D9%88%D8%B1%D8%A7%D9%86&action=edit&redlink=1,Event
1301,1.0,30,– اعلام ممنوعیت خروج طلا و نقره توسطوزارت مالیه,https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA_%D9%85%D8%A7%D9%84%DB%8C%D9%87,Event
1302,1.0,21,قانون ثبت اسناد و املاک به تصویبمجلس شورای ملیرسید.,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,Event
1303,,,7- طرحاستیضاحدولترضاخاناز سوی نمایندگان اقلیتمجلس شورای ملیبه رهبریمدرسبه شکست انجامید.,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%DB%8C%D8%B6%D8%A7%D8%AD,Event
1304,,,تصویب و اصلاحتقویم رسمی ایراندرمجلس شورای ملی,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,Event
1304,,,انقراضقاجاریهبا برکناریاحمدشاهو به پادشاهی رسیدنرضاشاهپهلوی,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF%D8%B4%D8%A7%D9%87,Event
1304,,,ساخت مستندعلفدر ایران توسطمرین سی کوپروارنست بی شودزاک. نخستین مستند مردم نگارانه تاریخ,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%DB%8C%D8%A7%D9%86_%DA%A9%D9%88%D9%BE%D8%B1,Event
1305,10.0,1305,دربندر انزلیتوسطمرضیه ضرابیانتشار یافت.,https://fa.wikipedia.org/wiki/%D8%A8%D9%86%D8%AF%D8%B1_%D8%A7%D9%86%D8%B2%D9%84%DB%8C,Event
1305,2.0,4,تاجگذاریرضاشاه پهلویدر تهران و تأسیس سلسلهٔپهلویدر ایران,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87_%D9%BE%D9%87%D9%84%D9%88%DB%8C,Event
1306,,,اعلام لغوکاپیتولاسیوندر ایران توسط وزارت امور خارجه ایران,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D9%BE%DB%8C%D8%AA%D9%88%D9%84%D8%A7%D8%B3%DB%8C%D9%88%D9%86,Event
1306,2.0,14,تصویب قانون تأسیسبانک ملی ایراندرمجلس شورای ملی,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D9%86%DA%A9_%D9%85%D9%84%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
1306,3.0,16,قلی هدایت(مخبرالسلطنه) به جای وی,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%85%D8%B3%D8%AA%D9%88%D9%81%DB%8C,Event
1306,6.0,16,تصویب «قانونورزشاجباری در مدارس»,https://fa.wikipedia.org/wiki/%D9%88%D8%B1%D8%B2%D8%B4,Event
