year,person,details,person_links,day,month
۱۲۹۹ ,کلنل فضل‌الله خان,از افسران ژاندارمری ایران در زمان دودمان قاجار,"[{'text': 'کلنل فضل\u200cالله خان', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%86%D9%84_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D8%A7%D9%86'}]",1,1
۱۳۴۴ ,مرتضی محجوبی,موسیقی‌دان,"[{'text': 'مرتضی محجوبی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D9%85%D8%AD%D8%AC%D9%88%D8%A8%DB%8C'}]",1,1
۱۳۷۰ ,علی دریابیگی,کارگردان,"[{'text': 'علی دریابیگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AF%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C%DA%AF%DB%8C'}]",1,1
۱۳۷۵ ,کلارا آبکار,نخستین زن مینیاتوریست در ایران,"[{'text': 'کلارا آبکار', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%84%D8%A7%D8%B1%D8%A7_%D8%A2%D8%A8%DA%A9%D8%A7%D8%B1'}]",1,1
۱۳۸۵ ,سروش خلیلی,بازیگر,"[{'text': 'سروش خلیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%B1%D9%88%D8%B4_%D8%AE%D9%84%DB%8C%D9%84%DB%8C'}]",1,1
۱۳۸۸ ,خدیجه ثقفی,همسر سید روح‌الله خمینی,"[{'text': 'خدیجه ثقفی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%AF%DB%8C%D8%AC%D9%87_%D8%AB%D9%82%D9%81%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1,1
۱۳۹۰ ,محمد صادقی تهرانی,از مراجع تقلید شیعه,"[{'text': 'محمد صادقی تهرانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B5%D8%A7%D8%AF%D9%82%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86%DB%8C'}]",1,1
۱۳۹۹ ,ارسلان فلاح حجت انصاری,نماینده لاهیجان در دوره نخست مجلس شورای اسلامی,"[{'text': 'ارسلان فلاح حجت انصاری', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%B3%D9%84%D8%A7%D9%86_%D9%81%D9%84%D8%A7%D8%AD_%D8%AD%D8%AC%D8%AA_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C'}]",1,1
۱۴۰۱ ,محمد محمدی ری‌شهری,نماینده استان تهران در دوره پنجم مجلس خبرگان رهبری,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'محمد محمدی ری\u200cشهری', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%B1%DB%8C%E2%80%8C%D8%B4%D9%87%D8%B1%DB%8C'}]",1,1
۱۴۰۱ ,مهرنوش شریعتی,عروسک‌گردان,"[{'text': 'مهرنوش شریعتی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D9%86%D9%88%D8%B4_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%DB%8C'}]",1,1
۱۴۰۳ ,فرامرز اصلانی,خواننده و آهنگساز,"[{'text': 'فرامرز اصلانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%85%D8%B1%D8%B2_%D8%A7%D8%B5%D9%84%D8%A7%D9%86%DB%8C'}]",1,1
۱۴۰۴ ,پروانه اعتمادی,نقاش,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'پروانه اعتمادی', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87_%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF%DB%8C'}]",1,1
۱۲۲۳ ,محمدباقر شفتی,روحانی و فقیه,"[{'text': 'محمدباقر شفتی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%B4%D9%81%D8%AA%DB%8C'}]",2,1
۱۳۴۱ ,حسین کاشی‌پز,هنرمند,"[{'text': 'حسین کاشی\u200cپز', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%DA%A9%D8%A7%D8%B4%DB%8C%E2%80%8C%D9%BE%D8%B2'}]",2,1
۱۳۶۹ ,پارسا تویسرکانی,نویسنده و شاعر,"[{'text': 'پارسا تویسرکانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%B1%D8%B3%D8%A7_%D8%AA%D9%88%DB%8C%D8%B3%D8%B1%DA%A9%D8%A7%D9%86%DB%8C'}]",2,1
۱۳۹۲ ,هوشنگ کاووسی,کارگردان,"[{'text': 'هوشنگ کاووسی', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B4%D9%86%DA%AF_%DA%A9%D8%A7%D9%88%D9%88%D8%B3%DB%8C'}]",2,1
۱۳۹۴ ,یونس عساکره,از شهروندان ایران,"[{'text': 'یونس عساکره', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D9%86%D8%B3_%D8%B9%D8%B3%D8%A7%DA%A9%D8%B1%D9%87'}]",2,1
۱۳۹۷ ,داریوش شایگان,فیلسوف,"[{'text': 'داریوش شایگان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1%DB%8C%D9%88%D8%B4_%D8%B4%D8%A7%DB%8C%DA%AF%D8%A7%D9%86'}]",2,1
۱۳۹۹ ,ژیلا تقی‌زاده,داستان‌نویس,"[{'text': 'ژیلا تقی\u200cزاده', 'url': 'https://fa.wikipedia.org/wiki/%DA%98%DB%8C%D9%84%D8%A7_%D8%AA%D9%82%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",2,1
۱۴۰۱ ,سید محمد فقیه,نماینده استان فارس در دوره پنجم مجلس خبرگان رهبری,"[{'text': 'سید محمد فقیه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D9%81%D9%82%DB%8C%D9%87'}, {'text': 'فقیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D9%82%DB%8C%D9%87'}]",2,1
۱۴۰۲ ,احمد سمیعی گیلانی,نویسنده,"[{'text': 'احمد سمیعی گیلانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B3%D9%85%DB%8C%D8%B9%DB%8C_%DA%AF%DB%8C%D9%84%D8%A7%D9%86%DB%8C'}]",2,1
۱۳۴۴ ,عبدالعظیم قریب,نویسنده (زاده ۱۲۵۸),"[{'text': 'عبدالعظیم قریب', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B8%DB%8C%D9%85_%D9%82%D8%B1%DB%8C%D8%A8'}]",3,1
۱۳۵۵ ,احمد ناظرزاده کرمانی,نویسنده و استاد دانشگاه,"[{'text': 'احمد ناظرزاده کرمانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%86%D8%A7%D8%B8%D8%B1%D8%B2%D8%A7%D8%AF%D9%87_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C'}]",3,1
۱۳۸۴ ,سید جلال‌الدین میری آشتیانی,فیلسوف (زاده ۱۳۰۴),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سید جلال\u200cالدین میری آشتیانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C'}]",3,1
۱۳۸۷ ,داوود اسدی,بازیگر (زاده ۱۳۴۸),"[{'text': 'داوود اسدی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%88%D9%88%D8%AF_%D8%A7%D8%B3%D8%AF%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",3,1
۱۳۸۷ ,شاهرخ سخایی,بازیگر، عکاس,"[{'text': 'شاهرخ سخایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D8%B1%D8%AE_%D8%B3%D8%AE%D8%A7%DB%8C%DB%8C'}]",3,1
۱۳۹۱ ,غلامحسین سمندری,دوتار نواز (زاده ۱۳۱۱),"[{'text': 'غلامحسین سمندری', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D9%85%D9%86%D8%AF%D8%B1%DB%8C'}]",3,1
۱۳۹۳ ,جمشید دانایی‌فر,مرزبان اسیرشده به وسیله جیش‌العدل (زاده ۱۳۶۶),"[{'text': 'جمشید دانایی\u200cفر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D8%AF%D8%A7%D9%86%D8%A7%DB%8C%DB%8C%E2%80%8C%D9%81%D8%B1'}]",3,1
۱۳۹۳ ,پرویز راجی,سفیر ایران در بریتانیا در زمان محمدرضا پهلوی,"[{'text': 'پرویز راجی', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D8%B2_%D8%B1%D8%A7%D8%AC%DB%8C'}]",3,1
۱۳۹۵ ,سیمین صفامهر,دونده (زادهٔ ۱۳۲۶),"[{'text': 'سیمین صفامهر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%85%DB%8C%D9%86_%D8%B5%D9%81%D8%A7%D9%85%D9%87%D8%B1'}]",3,1
۱۳۹۸ ,سهیل پرسته,کشتی‌گیر (زاده ۱۳۷۷),"[{'text': 'سهیل پرسته', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%87%DB%8C%D9%84_%D9%BE%D8%B1%D8%B3%D8%AA%D9%87'}]",3,1
۱۳۹۹ ,حسن اکبرزاده,پژوهشگر و ریاضی‌دان (زاده ۱۳۰۶),"[{'text': 'حسن اکبرزاده', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%A7%DA%A9%D8%A8%D8%B1%D8%B2%D8%A7%D8%AF%D9%87'}]",3,1
۱۴۰۱ ,علی برجسته,بازیگر، تهیه‌کننده سینما,"[{'text': 'علی برجسته', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A8%D8%B1%D8%AC%D8%B3%D8%AA%D9%87'}]",3,1
۷۲۴ ,امین‌الدین بلیانی,شاعر، صوفی و شیخ‌الاسلام فارس در دورهٔ حکومت آل اینجو,"[{'text': 'امین\u200cالدین بلیانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A8%D9%84%DB%8C%D8%A7%D9%86%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",4,1
۱۳۲۶ ,مهدی نوایی,موسیقی‌دان,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'مهدی نوایی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D9%86%D9%88%D8%A7%DB%8C%DB%8C'}]",4,1
۱۳۷۹ ,رافیک آرزومانیان,فیلم‌بردار,"[{'text': 'رافیک آرزومانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D9%81%DB%8C%DA%A9_%D8%A2%D8%B1%D8%B2%D9%88%D9%85%D8%A7%D9%86%DB%8C%D8%A7%D9%86'}]",4,1
۱۳۸۴ ,محمد مددپور,نویسنده و پژوهشگر,"[{'text': 'محمد مددپور', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AF%D8%AF%D9%BE%D9%88%D8%B1'}]",4,1
۱۳۹۳ ,علی خلیلی,از شهروندان ایران,[],4,1
۱۳۹۹ ,عباسقلی دانشور,پزشک,"[{'text': 'عباسقلی دانشور', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3%D9%82%D9%84%DB%8C_%D8%AF%D8%A7%D9%86%D8%B4%D9%88%D8%B1'}]",4,1
۱۱۴۸ ,میر مهنا,از حاکمان ایران در زمان زندیان,"[{'text': 'میر مهنا', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1_%D9%85%D9%87%D9%86%D8%A7'}]",5,1
۱۲۸۴ ,محمدحسن ممقانی,فقیه,"[{'text': 'محمدحسن ممقانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D9%85%D9%85%D9%82%D8%A7%D9%86%DB%8C'}]",5,1
۱۳۴۰ ,محمود نریمان,از بنیان‌گذاران جبهه ملی ایران,"[{'text': 'محمود نریمان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D9%86%D8%B1%DB%8C%D9%85%D8%A7%D9%86'}]",5,1
۱۳۶۶ ,عبدالله دهش,شاعر و نویسنده,"[{'text': 'عبدالله دهش', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4'}]",5,1
۱۳۷۵ ,محمداسماعیل رضوانی,پژوهشگر تاریخ,"[{'text': 'محمداسماعیل رضوانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%B1%D8%B6%D9%88%D8%A7%D9%86%DB%8C'}]",5,1
۱۳۸۶ ,یدالله بهزاد,شاعر,"[{'text': 'یدالله بهزاد', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%87%D8%B2%D8%A7%D8%AF'}]",5,1
۱۳۹۱ ,پروین‌دخت یزدانیان,بازیگر,"[{'text': 'پروین\u200cدخت یزدانیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86%E2%80%8C%D8%AF%D8%AE%D8%AA_%DB%8C%D8%B2%D8%AF%D8%A7%D9%86%DB%8C%D8%A7%D9%86'}]",5,1
